Accepted Symbol,Synonym Symbol,Scientific Name,PLANTS Floristic Area,State and Province,Family,Duration,Native Status,Active Growth Period,Fire Resistance,Bloom Period
AGERA2,,Ageratina,NA (L48),"CAN(NB, NS, NT, ON, QC), USA+(PR), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV)",Asteraceae,,"L48(I,N)CAN(N)",,,
AGALA2,,Ageratina altissima var. angustata,NA (L48),"USA(AR, IL, LA, MO, OK, TX)",Asteraceae,Perennial,L48(N),,,
AGRIM,,Agrimonia,NA (L48),"CAN(AB, BC, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV, WY)",Rosaceae,,"L48(I,N)SPM(N)",,,
AGMI2,,Agrimonia microcarpa,NA (L48),"USA(AL, CT, FL, GA, IL, KS, KY, LA, MD, MS, NC, NJ, OH, PA, SC, TN, TX, VA, WV)",Rosaceae,Perennial,L48(N),,,
AGRO3,,Agrimonia rostellata,NA (L48),"USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WI, WV)",Rosaceae,Perennial,L48(N),Spring,No,Summer
AGROS2,,Agrostis,"GL (L48, GL)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA+(PR)",Poaceae,,"L48(I,N)GL(I,N)",,,
AGEL4,,Agrostis elliottiana,NA (L48),"USA(AL, AR, AZ, CA, DC, FL, GA, IL, IN, KS, KY, LA, MA, MD, ME, MO, MS, NC, NM, OH, OK, PA, SC, TN, TX, VA)",Poaceae,Annual,L48(N),,,
ALETR,,Aletris,NA (L48),"CAN(ON), USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WI, WV)",Liliaceae,,L48(N)CAN(N),,,
ALISM,,Alisma,NA (L48),"CAN(AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Alismataceae,,"L48(I,N)CAN(N)",,,
ALLIU,,Allium,"NA (L48, PB)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, QC, SK, YT), USA+(VI), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PW, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY)",Liliaceae,,"L48(I,N)",,,
ALCAL,,Allium canadense var. lavandulare,NA (L48),"USA(AR, IA, IL, KS, MO, NE, OK, SD)",Liliaceae,Perennial,L48(N),,,
ALCAM,,Allium canadense var. mobilense,NA (L48),"USA(AL, AR, FL, GA, IA, IL, KS, KY, LA, MO, MS, NC, OK, SC, TN, TX)",Liliaceae,Perennial,L48(N),,,
ALNUS,,Alnus,"GL (L48, GL)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Betulaceae,,"L48(I,N)CAN(I,N)GL(N)SPM(N)",,,
ALOPE,,Alopecurus,"GL (L48, GL)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Poaceae,,"L48(I,N)GL(I,N)SPM(I)",,,
ALTER2,,Alternanthera,"NA (L48, PB)","USA+(PR, VI), USA(AL, AR, AZ, CA, FL, GA, HI, IL, KY, LA, MD, MO, MS, NC, NJ, NM, NY, OK, PA, PW, SC, TN, TX, UM, VA)",Amaranthaceae,,"L48(I,N)",,,
AMAR,,Amaranthus arenicola,NA (L48),"USA(AR, CA, CO, DC, IA, IL, IN, KS, KY, LA, MI, MO, MT, NE, NJ, NM, OK, PA, SD, TN, TX, VA, WI, WY)",Amaranthaceae,Annual,L48(N),,,
AMBRO,,Ambrosia,NA (L48),"CAN(AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK), USA+(PR, VI), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Asteraceae,,"L48(I,N)CAN(N)",,,
AMBI2,,Ambrosia bidentata,NA (L48),"USA(AL, AR, CT, GA, IA, IL, IN, KS, KY, LA, MD, MN, MO, MS, NC, NJ, NY, OH, OK, SC, TN, TX, VA, WV)",Asteraceae,Annual,L48(N),,,
AMTO3,,Ambrosia tomentosa,NA (L48),"USA(AZ, CO, IA, ID, IL, KS, MO, MT, ND, NE, NM, SD, TX, UT, WI, WY)",Asteraceae,Perennial,L48(N),,,
AMTRT,,Ambrosia trifida var. texana,NA (L48),"USA(AZ, IL, KS, LA, MA, MO, MS, NM, OK, TX)",Asteraceae,Annual,L48(N),,,
AMELA,,Amelanchier,NA (L48),"CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Rosaceae,,L48(N)CAN(N)SPM(N),,,
AMMAN,,Ammannia,"NA (L48, PB)","CAN(BC, ON), USA+(PR, VI), USA(AL, AR, AZ, CA, CO, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NV, OH, OK, OR, PA, PW, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY)",Lythraceae,,L48(N)CAN(N),,,
AMCO,,Ammannia coccinea,"NA (L48), HI, PR, VI","USA+(PR, VI), USA(AL, AR, AZ, CA, DC, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MD, MN, MO, MS, NC, ND, NE, NJ, NM, OH, OK, PA, SC, SD, TN, TX, VA, WV)",Lythraceae,Annual,L48(N)HI(I)PR(N)VI(N),Spring,No,Indeterminate
AMMOP,,Ammophila,"NA (L48, PB)","CAN(BC, LB, NB, NF, NS, ON, PE, QC), FRA(SB), USA(CA, CT, DE, HI, IL, IN, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, OR, PA, RI, SC, UM, VA, VT, WA, WI)",Poaceae,,"L48(I,N)CAN(I,N)SPM(N)",,,
AMORP,,Amorpha,NA (L48),"CAN(MB, NB, ON, QC), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Fabaceae,,L48(N)CAN(N),,,
AMNI,,Amorpha nitens,NA (L48),"USA(AL, AR, GA, IL, KY, LA, OK, SC, TN)",Fabaceae,Perennial,L48(N),,,
AMPEL3,,Ampelopsis,NA (L48),"USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WI, WV)",Vitaceae,,"L48(I,N)",,,
AMCO2,,Ampelopsis cordata,NA (L48),"USA(AL, AR, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NE, OH, OK, SC, TN, TX, VA, WV)",Vitaceae,Perennial,L48(N),Spring and Summer,No,Late Spring
AMPHI8,,Amphiachyris,NA (L48),"USA(AL, AR, IA, IL, IN, KS, KY, LA, MO, MS, NE, NM, OH, OK, PA, SC, TN, TX, VA)",Asteraceae,,L48(N),,,
AMDR,,Amphiachyris dracunculoides,NA (L48),"USA(AL, AR, IA, IL, IN, KS, KY, LA, MO, MS, NE, NM, OH, OK, PA, SC, TN, TX, VA)",Asteraceae,Annual,L48(N),,,
AMPHI4,,Amphicarpaea,NA (L48),"CAN(MB, NB, NS, ON, QC), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY)",Fabaceae,,L48(N)CAN(N),,,
AMSIN,,Amsinckia,NA (L48),"CAN(AB, BC, MB, SK, YT), USA(AK, AZ, CA, CO, CT, HI, ID, IL, MA, ME, MO, MS, MT, NC, ND, NE, NH, NM, NV, NY, OH, OK, OR, PA, SC, TX, UT, VA, WA, WI, WY)",Boraginaceae,,L48(N)CAN(N),,,
AMSON,,Amsonia,NA (L48),"USA(AL, AR, AZ, CA, CO, CT, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MO, MS, NC, NJ, NM, NV, NY, OH, OK, PA, SC, TN, TX, UT, VA)",Apocynaceae,,L48(N),,,
AMTA2,,Amsonia tabernaemontana,NA (L48),"USA(AL, AR, CT, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA)",Apocynaceae,Perennial,L48(N),,,
AMTAS,,Amsonia tabernaemontana var. salicifolia,NA (L48),"USA(AL, AR, GA, IL, IN, KS, KY, LA, MO, MS, NC, OH, OK, SC, TN, TX, VA)",Apocynaceae,Perennial,L48(N),,,
AMTAT,,Amsonia tabernaemontana var. tabernaemontana,NA (L48),"USA(AL, AR, DE, FL, GA, IL, KS, KY, LA, MA, MD, MO, MS, NC, NJ, NY, OK, PA, SC, TN, TX, VA)",Apocynaceae,Perennial,L48(N),,,
ANAGA,,Anagallis,"GL (L48, GL, PB)","CAN(AB, BC, NB, NF, NS, ON, PE, QC, SK), DEN(GL), FRA(SB), USA+(PR)",Primulaceae,,"L48(I,N)CAN(I,N)GL(I)SPM(W)",,,
ANAPH,,Anaphalis,NA (L48),"CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA(SB), USA(AK, AZ, CA, CO, CT, DE, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Asteraceae,,L48(N)CAN(N)SPM(N),,,
ANDRO,,Andromeda,"GL (L48, GL)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, CT, ID, IL, IN, MA, ME, MI, MN, NH, NJ, NY, OH, PA, RI, VT, WA, WI, WV)",Ericaceae,,L48(N)CAN(N)GL(N)SPM(N),,,
ANDRO2,,Andropogon,"NA (L48, PB)","CAN(MB, ON, QC, SK), USA+(PR, VI), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NAV, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, PA, RI, SC, SD, TN, TX, UM, UT, VA, VT, WI, WV, WY)",Poaceae,,"L48(I,N)CAN(N)",,,
ANGL2,,Andropogon glomeratus,"NA (L48, NAV), HI, PR, VI","USA+(PR, VI), USA(AL, AR, AZ, CA, DC, DE, FL, GA, HI, IL, KY, LA, MA, MD, MS, NAV, NC, NJ, NM, NV, NY, OH, OK, PA, RI, SC, TN, TX, UT, VA, WV)",Poaceae,Perennial,L48(N)HI(I)PR(N)VI(I),Summer,No,Late Summer
ANGLG2,,Andropogon glomeratus var. glomeratus,"NA (L48), HI","USA(AL, AR, DC, DE, FL, GA, HI, IL, KY, LA, MA, MD, MS, NC, NJ, NY, OH, PA, RI, SC, TN, VA, WV)",Poaceae,Perennial,L48(N)HI(I),,,
ANGY2,,Andropogon gyrans,NA (L48),"USA(AL, AR, DC, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, OH, OK, PA, SC, TN, TX, VA, WV)",Poaceae,Perennial,L48(N),,,
ANGYG,,Andropogon gyrans var. gyrans,NA (L48),"USA(AL, AR, DC, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, OH, OK, PA, SC, TN, TX, VA, WV)",Poaceae,Perennial,L48(N),,,
ANTE2,,Andropogon ternarius,NA (L48),"USA(AL, AR, DC, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NJ, OK, SC, TN, TX, VA)",Poaceae,Perennial,L48(N),Summer,No,Late Summer
ANTET,,Andropogon ternarius var. ternarius,NA (L48),"USA(AL, AR, DC, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NJ, OK, SC, TN, TX, VA)",Poaceae,Perennial,L48(N),,,
ANDRO3,,Androsace,"GL (L48, GL)","CAN(AB, BC, MB, NF, NT, NU, ON, QC, SK, YT), DEN(GL), USA(AK, AR, AZ, CA, CO, IA, ID, IL, IN, KS, MA, MI, MN, MO, MT, ND, NE, NM, NV, NY, OH, OK, OR, SD, TX, UT, WA, WI, WY)",Primulaceae,,"L48(I,N)CAN(N)GL(N)",,,
ANEMO,,Anemone,"GL (L48, GL)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Ranunculaceae,,"L48(I,N)CAN(I,N)GL(N)",,,
ANCA9,,Anemone caroliniana,NA (L48),"USA(AL, AR, DC, GA, IA, IL, IN, KS, LA, MN, MO, MS, NC, NE, OK, SC, SD, TN, TX, WI)",Ranunculaceae,Perennial,L48(N),,,
ANQUB2,,Anemone quinquefolia var. bifolia,NA (L48),"USA(IA, IL, IN, KY, MI, MN, MO, ND, OH, SD, VT, WI)",Ranunculaceae,Perennial,L48(N),,,
ANGEL,,Angelica,"GL (L48, GL)","CAN(AB, BC, LB, NB, NF, NS, NT, ON, PE, QC, YT), DEN(GL), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, UT, VA, VT, WA, WI, WV, WY)",Apiaceae,,"L48(N)CAN(I,N)GL(N)",,,
ANODA,,Anoda,NA (L48),"USA+(PR), USA(AR, AZ, CA, CO, CT, DC, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MO, MS, NC, NJ, NM, NY, OH, PA, SC, TN, TX, VA, WV)",Malvaceae,,L48(N),,,
ANCR2,,Anoda cristata,"NA (L48), PR","USA+(PR), USA(AR, AZ, CA, CO, CT, DC, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MO, MS, NC, NJ, NM, NY, OH, PA, SC, TN, TX, VA, WV)",Malvaceae,Annual,L48(N)PR(N),,,
ANTEN,,Antennaria,"GL (L48, GL)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Asteraceae,,L48(N)CAN(N)GL(N)SPM(N),,,
ANPL,,Antennaria plantaginifolia,NA (L48),"USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MN, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TN, TX, VA, VT, WI, WV)",Asteraceae,Perennial,L48(N),,,
ANSO,,Antennaria solitaria,"NA (L48, AK)","USA(AL, AR, DC, DE, GA, IL, IN, KY, LA, MD, MS, NC, NJ, OH, PA, SC, TN, VA, WV)",Asteraceae,Perennial,L48(N)AK(N),,,
ANTHO,,Anthoxanthum,"GL (L48, GL)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, YT), DEN(GL), FRA(SB), USA(AK, AL, AR, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, VT, WA, WI, WV)",Poaceae,,"L48(I,N)CAN(I,N)GL(I,N)SPM(I,N)",,,
