allspp_cleaned,both_07_and_18,only_in_07,only_in_18,freq_07,freq_18
Campanula americana,1,0,0,24,22
Cardamine concatenata,0,0,1,0,106
Cardamine douglassii,0,0,1,0,1
Carex,1,0,0,60,138
Carex albursina,0,0,1,0,4
Carex blanda,1,0,0,24,30
Carex cephalophora,0,0,1,0,1
Carex cristatella,0,0,1,0,1
Carex granularis,0,0,1,0,2
Carex gravida,0,1,0,2,0
Carex grisea,0,0,1,0,1
Carex hirtifolia,1,0,0,18,21
Carex jamesii,0,0,1,0,8
Carex lacustris,0,0,1,0,2
Carex muskingumensis,0,0,1,0,2
Carex pensylvanica,1,0,0,8,11
Carex rosea,1,0,0,4,4
Carex sparganioides,0,1,0,2,0
Carex tribuloides,1,0,0,2,4
Carex vulpinoidea,1,0,0,4,1
Carex woodii,0,0,1,0,2
Carya,1,0,0,6,2
Carya cordiformis,1,0,0,44,40
Carya ovata,1,0,0,18,10
Caulophyllum thalictroides,1,0,0,4,4
Celastrus orbiculatus,0,0,1,0,30
Celastrus scandens,1,0,0,32,2
Celtis occidentalis,1,0,0,36,69
Cerastium,0,0,1,0,5
Cerastium glomeratum,0,0,1,0,1
Cercis canadensis,1,0,0,48,38
Chenopodium,0,0,1,0,2
Chenopodium album,1,0,0,6,6
Cinna arundinacea,0,0,1,0,1
Circaea lutetiana,0,0,1,0,397
Circaea lutetiana subsp. canadensis,0,1,0,316,0
Cirsium,0,0,1,0,5
Cirsium arvense,1,0,0,44,12
Cirsium vulgare,1,0,0,4,4
Cladrastis kentukea,0,0,1,0,1
Claytonia virginica,0,0,1,0,96
Clematis virginiana,0,0,1,0,2
Clinopodium vulgare,0,0,1,0,11
Convolvulus,1,0,0,2,15
Convolvulus arvensis,0,1,0,22,0
Coreopsis tripteris,0,0,1,0,2
Cornus,0,0,1,0,9
Cornus amomum subsp. obliqua,0,0,1,0,1
Cornus racemosa,1,0,0,42,20
Crataegus,1,0,0,190,31
Cryptotaenia canadensis,0,0,1,0,17
Cystopteris protrusa,0,0,1,0,2
Dactylis glomerata,1,0,0,48,18
Danthonia spicata,1,0,0,2,1
Daucus carota,1,0,0,36,39
Desmodium,0,1,0,2,0
Dicentra cucullaria,0,0,1,0,9
Dichanthelium,0,0,1,0,4
Dioscorea villosa,1,0,0,6,9
Dipsacus,0,0,1,0,4
Dipsacus fullonum,1,0,0,4,3
Dipsacus laciniatus,0,0,1,0,3
Dodecatheon meadia,1,0,0,2,3
Duchesnea indica,1,0,0,2,1
Echinocystis lobata,0,0,1,0,1
Ellisia nyctelea,0,0,1,0,2
Elymus,0,0,1,0,7
Elymus canadensis,0,0,1,0,1
Elymus elymoides,0,0,1,0,27
Elymus repens,1,0,0,18,8
Elymus villosus,1,0,0,2,11
Elymus virginicus,0,0,1,0,6
Enemion biternatum,1,0,0,2,2
Epilobium coloratum,1,0,0,2,3
Epilobium hirsutum,0,0,1,0,1
Equisetum arvense,0,0,1,0,1
Erechtites hieraciifolius,1,0,0,2,17
Erigeron,0,0,1,0,7
Erigeron annuus,1,0,0,8,13
Erigeron canadensis,0,0,1,0,1
Erigeron philadelphicus,0,0,1,0,2
Erigeron strigosus,1,0,0,2,6
Erythronium albidum,0,0,1,0,174
Euonymus,1,0,0,10,10
Euonymus alatus,1,0,0,14,14
Euonymus atropurpureus,0,1,0,12,0
Euonymus europaeus,0,0,1,0,1
Euonymus fortunei,0,0,1,0,1
Eupatorium,0,0,1,0,1
Eupatorium altissimum,0,0,1,0,1
Eupatorium maculatum,0,0,1,0,3
Eupatorium purpureum,0,0,1,0,29
Eupatorium serotinum,0,0,1,0,1
Euthamia caroliniana,0,1,0,2,0
Euthamia graminifolia,0,1,0,8,0
Fallopia convolvulus,0,0,1,0,10
Fallopia scandens,0,0,1,0,21
Festuca,1,0,0,8,2
Festuca arundinacea,0,1,0,14,0
Festuca pratensis,0,0,1,0,9
Festuca subverticillata,0,0,1,0,6
Ficaria verna,0,0,1,0,1
Floerkea proserpinacoides,0,0,1,0,57
Fragaria vesca subsp. americana,0,1,0,2,0
Fragaria virginiana,1,0,0,34,51
Frangula alnus,1,0,0,10,1
Fraxinus,1,0,0,26,234
Fraxinus americana,1,0,0,546,29
Fraxinus pennsylvanica,1,0,0,400,130
Fraxinus quadrangulata,1,0,0,2,5
Galium,1,0,0,42,10
Galium aparine,1,0,0,2,54
Galium asprellum,0,1,0,4,0
Galium circaezans,0,0,1,0,11
Galium concinnum,0,0,1,0,1
Galium obtusum,0,1,0,2,0
Galium triflorum,1,0,0,10,78
Geranium maculatum,1,0,0,98,107
Geum,0,0,1,0,1
Geum canadense,1,0,0,190,253
Geum vernum,0,0,1,0,1
Glechoma hederacea,1,0,0,12,13
Glyceria striata,1,0,0,2,7
Grias,0,1,0,4,0
Gymnocladus dioica,1,0,0,8,4
Hackelia virginiana,1,0,0,54,101
Hedeoma hispida,0,0,1,0,1
Helenium autumnale,0,0,1,0,2
Helianthus divaricatus,1,0,0,2,1
Helianthus grosseserratus,0,0,1,0,5
Helianthus hirsutus,0,0,1,0,12
Helianthus strumosus,1,0,0,4,1
Hesperis matronalis,0,0,1,0,7
Hordeum jubatum,0,0,1,0,1
Hydrastis canadensis,1,0,0,2,1
Hydrophyllum,0,0,1,0,1
Hydrophyllum appendiculatum,0,0,1,0,10
Hydrophyllum virginianum,1,0,0,16,16
Hypericum perforatum,0,0,1,0,3
Hystrix patula,0,1,0,8,0
Impatiens,1,0,0,2,143
Impatiens capensis,1,0,0,44,39
Impatiens pallida,1,0,0,40,61
Juglans cinerea,0,1,0,8,0
Juglans nigra,1,0,0,174,106
Juncus,0,0,1,0,2
Juncus dudleyi,1,0,0,2,2
Juncus tenuis,0,0,1,0,1
Juniperus virginiana,1,0,0,2,2
Lactuca biennis,0,0,1,0,5
Lactuca canadensis,1,0,0,2,6
Lactuca floridana,1,0,0,2,5
Lactuca serriola,0,1,0,2,0
Lamium purpureum,0,0,1,0,1
Laportea canadensis,0,0,1,0,10
Leersia oryzoides,1,0,0,2,7
Leersia virginica,1,0,0,6,16
Leitneria floridana,0,0,1,0,1
Leucanthemum vulgare,1,0,0,16,9
Ligustrum,1,0,0,2,1
Ligustrum vulgare,0,0,1,0,1
Linaria vulgaris,0,0,1,0,2
Liriodendron tulipifera,1,0,0,10,3
Lobelia inflata,0,0,1,0,1
Lonicera,1,0,0,4,7
Lonicera maackii,1,0,0,454,283
Lonicera prolifera,0,1,0,6,0
Lonicera reticulata,0,0,1,0,3
Lonicera tatarica,1,0,0,82,14
Lonicera tatarica var. morrowii,0,0,1,0,7
Lycopus americanus,1,0,0,2,1
Lycopus uniflorus,0,0,1,0,1
Lysimachia ciliata,0,0,1,0,1
Maclura pomifera,0,1,0,8,0
Magnolia acuminata,0,0,1,0,1
Maianthemum,0,0,1,0,1
Maianthemum racemosum,1,0,0,176,162
Maianthemum stellatum,0,0,1,0,1
Malus,1,0,0,2,6
Malus pumila,0,0,1,0,1
Malus sieboldii,0,0,1,0,9
Melilotus,0,0,1,0,5
Melilotus officinalis subsp. alba,1,0,0,2,2
Menispermum canadense,1,0,0,16,28
Mertensia virginica,0,0,1,0,9
Moehringia lateriflora,0,1,0,2,0
Monarda fistulosa,1,0,0,8,13
Morus alba,1,0,0,28,42
Morus rubra,0,1,0,12,0
Nabalus albus,1,0,0,2,9
Nabalus crepidineus,0,0,1,0,1
Nonea,0,1,0,378,0
Onoclea sensibilis,1,0,0,2,2
Osmorhiza,0,0,1,0,11
Osmorhiza aristata var. aristata,0,0,1,0,32
Osmorhiza longistylis,0,1,0,2,0
Osmunda claytoniana,0,1,0,12,0
Ostrya virginiana,1,0,0,482,229
Oxalis,0,0,1,0,8
Oxalis stricta,1,0,0,60,45
Packera,0,0,1,0,1
Panicum,1,0,0,2,1
Panicum acuminatum,1,0,0,6,2
Parthenocissus,0,0,1,0,1
Parthenocissus quinquefolia,1,0,0,556,373
Pastinaca sativa,1,0,0,8,3
Penstemon digitalis,0,0,1,0,1
Penthorum sedoides,0,0,1,0,1
Persicaria amphibia,0,0,1,0,1
Persicaria bungeana,0,0,1,0,3
Persicaria hydropiper,0,0,1,0,1
Persicaria lapathifolia,0,1,0,2,0
Persicaria punctata,1,0,0,2,3
Phalaris arundinacea,1,0,0,40,56
Phellodendron amurense,0,0,1,0,10
Phleum pratense,1,0,0,14,4
Phlox divaricata,0,0,1,0,8
Phragmites australis,0,0,1,0,1
Phryma leptostachya,1,0,0,2,25
Physalis,0,1,0,8,0
Physalis virginiana,0,1,0,6,0
Phytolacca americana,1,0,0,2,26
Picea,1,0,0,6,1
Picea abies,0,0,1,0,1
Pilea pumila,1,0,0,20,61
Pinus,0,0,1,0,3
Pinus banksiana,0,1,0,4,0
Pinus resinosa,1,0,0,10,2
Plantago lanceolata,1,0,0,20,6
Plantago major,0,0,1,0,1
Plantago rugelii,1,0,0,2,1
Poa,1,0,0,4,1
Poa compressa,0,0,1,0,2
Poa nemoralis,1,0,0,4,3
Poa palustris,0,0,1,0,2
Poa pratensis,1,0,0,130,73
Podophyllum peltatum,1,0,0,10,16
Polemonium reptans,1,0,0,6,7
Polygonatum biflorum,1,0,0,10,34
Polygonum,1,0,0,2,6
Polygonum virginianum,1,0,0,38,109
Polypodium virginianum,0,1,0,10,0
Polystichum acrostichoides,0,0,1,0,2
Populus,0,1,0,2,0
Populus alba,1,0,0,6,1
Populus deltoides,1,0,0,20,13
Populus grandidentata,1,0,0,4,1
Potentilla norvegica,0,1,0,10,0
Potentilla recta,1,0,0,20,7
Potentilla simplex,1,0,0,22,34
Prunella vulgaris,1,0,0,2,10
Prunella vulgaris subsp. lanceolata,0,1,0,10,0
Prunus,1,0,0,6,3
Prunus americana,1,0,0,34,30
Prunus serotina,1,0,0,1078,425
Prunus virginiana,1,0,0,80,53
Pseudotsuga menziesii,0,1,0,8,0
Ptelea trifoliata,1,0,0,2,3
Pyrus calleryana,0,0,1,0,1
Quercus,1,0,0,18,5
Quercus alba,1,0,0,650,382
Quercus bicolor,0,1,0,14,0
Quercus coccinea,0,1,0,2,0
Quercus ellipsoidalis,0,0,1,0,19
Quercus macrocarpa,1,0,0,282,150
Quercus palustris,1,0,0,12,5
Quercus rubra,1,0,0,564,279
Quercus velutina,0,0,1,0,2
Ranunculus,1,0,0,6,2
Ranunculus abortivus,1,0,0,8,19
Ranunculus hispidus,1,0,0,16,65
Ranunculus pensylvanicus,0,1,0,2,0
Ranunculus recurvatus,0,0,1,0,1
Ratibida pinnata,0,1,0,2,0
Rhamnus,0,1,0,8,0
Rhamnus cathartica,1,0,0,536,257
Rhus glabra,1,0,0,4,1
Rhus typhina,0,1,0,8,0
Ribes,1,0,0,24,5
Ribes americanum,0,0,1,0,2
Ribes cynosbati,0,0,1,0,3
Ribes missouriense,1,0,0,26,8
Robinia pseudoacacia,1,0,0,64,36
Rosa,1,0,0,4,4
Rosa carolina,0,0,1,0,3
Rosa multiflora,1,0,0,96,43
Rubus,1,0,0,4,17
Rubus allegheniensis,1,0,0,52,52
Rubus idaeus subsp. strigosus,1,0,0,4,4
Rubus occidentalis,1,0,0,60,68
Rudbeckia hirta,0,0,1,0,2
Rumex,0,0,1,0,2
Rumex britannica,0,1,0,2,0
Rumex crispus,1,0,0,2,4
Ruta,0,1,0,2,0
Sagittaria latifolia,0,0,1,0,1
Salix,0,0,1,0,2
Salix amygdaloides,0,0,1,0,2
Salix interior,0,1,0,6,0
Salix nigra,1,0,0,66,50
Sambucus canadensis,1,0,0,8,13
Sanguinaria canadensis,1,0,0,8,11
Sanicula,0,0,1,0,18
Sanicula canadensis,0,0,1,0,1
Sanicula odorata,0,0,1,0,44
Schizachyrium scoparium,0,0,1,0,2
Scirpus,0,1,0,2,0
Scirpus atrovirens,0,0,1,0,1
Scrophularia,0,1,0,2,0
Scrophularia marilandica,0,0,1,0,2
Scutellaria galericulata,0,0,1,0,1
Scutellaria lateriflora,1,0,0,2,3
Securigera varia,1,0,0,16,17
Sedum,0,1,0,4,0
Setaria,1,0,0,2,1
Setaria faberi,0,0,1,0,2
Silene latifolia subsp. alba,0,0,1,0,1
Silphium integrifolium,1,0,0,2,5
Silphium laciniatum,0,0,1,0,2
Sium suave,1,0,0,2,9
Smilax,1,0,0,18,3
Smilax ecirrhata,0,0,1,0,1
Smilax illinoensis,0,0,1,0,7
Smilax lasioneura,1,0,0,10,11
Smilax tamnoides,1,0,0,2,7
Solanum,0,1,0,2,0
Solanum americanum,0,0,1,0,5
Solanum carolinense,0,0,1,0,4
Solanum dulcamara,1,0,0,8,7
Solidago,1,0,0,18,4
Solidago canadensis,1,0,0,44,143
Solidago flexicaulis,1,0,0,16,20
Solidago gigantea,1,0,0,4,4
Solidago nemoralis,0,0,1,0,1
Solidago rigida,0,0,1,0,2
Solidago ulmifolia,1,0,0,32,61
Sonchus arvensis,0,0,1,0,5
Sonchus asper,0,1,0,2,0
Sorghastrum nutans,1,0,0,4,4
Sparganium eurycarpum,0,0,1,0,3
Spartina pectinata,0,0,1,0,1
Stachys,0,0,1,0,1
Stachys palustris,0,0,1,0,2
Stachys tenuifolia,0,0,1,0,1
Staphylea trifolia,1,0,0,4,1
Stylophorum diphyllum,1,0,0,2,5
Symphyotrichum,0,0,1,0,29
Symphyotrichum drummondii,1,0,0,20,123
Symphyotrichum ericoides,0,0,1,0,1
Symphyotrichum lanceolatum,0,0,1,0,6
Symphyotrichum lateriflorum,1,0,0,58,100
Symphyotrichum novae-angliae,0,0,1,0,9
Symphyotrichum ontarionis,0,0,1,0,1
Symphyotrichum pilosum,1,0,0,2,10
Symphyotrichum shortii,1,0,0,8,37
Taraxacum campylodes,1,0,0,38,67
Teucrium canadense,0,0,1,0,6
Thalictrum dasycarpum,0,0,1,0,1
Thalictrum dioicum,1,0,0,16,1
Thelypteris confluens,0,0,1,0,1
Tilia americana,1,0,0,1728,849
Torilis japonica,0,0,1,0,7
Toxicodendron radicans,1,0,0,170,112
Tragopogon dubius,0,1,0,2,0
Trema,0,1,0,2,0
Trifolium,0,0,1,0,2
Trifolium repens,1,0,0,2,8
Trillium grandiflorum,0,0,1,0,2
Trillium recurvatum,0,0,1,0,56
Triosteum perfoliatum,0,0,1,0,1
Typha angustifolia,0,1,0,2,0
Typha latifolia,1,0,0,2,2
Ulmus,1,0,0,58,6
Ulmus americana,1,0,0,944,365
Ulmus pumila,1,0,0,6,16
Ulmus rubra,1,0,0,476,83
Urtica dioica,1,0,0,2,2
Uvularia grandiflora,0,0,1,0,9
Uvularia sessilifolia,0,1,0,2,0
Verbena urticifolia,0,0,1,0,2
Verbesina alternifolia,1,0,0,4,10
Vernonia gigantea,0,0,1,0,1
Veronica,0,0,1,0,1
Veronicastrum virginicum,0,0,1,0,1
Viburnum,1,0,0,52,5
Viburnum dentatum,0,0,1,0,11
Viburnum lentago,1,0,0,2,2
Viburnum opulus,1,0,0,40,19
Viburnum prunifolium,1,0,0,8,6
Viburnum rafinesquianum,0,1,0,4,0
Viburnum recognitum,0,1,0,44,0
Vicia,0,0,1,0,5
Viola,1,0,0,46,25
Viola pubescens,1,0,0,6,16
Viola sororia,0,0,1,0,39
Viola sororia var. missouriensis,0,0,1,0,4
Vitis,0,0,1,0,2
Vitis vulpina,1,0,0,76,41
