allspp_uncleaned,both_07_and_18,only_in_07,only_in_18,freq_07,freq_18
Arenaria lateriflora,0,1,0,2,0
Arisaema dracontium,1,0,0,2,7
Arisaema triphyllum,1,0,0,164,120
Arnoglossum atricipifolia,0,0,1,0,1
Aruncus dioicus pubescens,0,1,0,2,0
Asarum canadense,1,0,0,14,16
Asclepias exaltata,0,0,1,0,1
Asclepias incarnata,0,0,1,0,1
Asclepias meadii,0,1,0,2,0
Asclepias syriaca,1,0,0,2,9
Asclepias verticillata,0,1,0,2,0
Asimina species,0,1,0,4,0
Asimina triloba,0,0,1,0,1
Asplenium species,0,1,0,2,0
Aster lateriflorus,0,1,0,58,0
Aster pilosus,0,1,0,2,0
Aster sagittifolius drummondii,0,1,0,20,0
Aster shortii,0,1,0,8,0
Aster species,0,1,0,40,0
Athyrium filix-femina,0,0,1,0,1
Barbarea vulgaris,1,0,0,4,3
Berberis thunbergii,1,0,0,4,4
Bidens aristosa,0,0,1,0,2
Bidens cernua,0,1,0,2,0
Bidens connata,0,0,1,0,1
Bidens frondosa,1,0,0,6,39
Bidens sp.,0,0,1,0,14
Bidens species,0,1,0,2,0
Bidens vulgata,0,0,1,0,2
Boehmeria cylindrica,1,0,0,10,4
Botrychium virginianum,0,0,1,0,2
Brassica sp.,0,0,1,0,1
Brassicaceae family,0,1,0,2,0
Bromis inermis,0,1,0,2,0
Bromus inermis,1,0,0,34,17
Bromus japonicus,0,0,1,0,1
Bromus pubescens,0,0,1,0,2
Bromus sp.,0,0,1,0,1
Bromus tectorum,0,0,1,0,1
Cacalia atriplicifolia,0,0,1,0,1
Calamagrostis canadensis,0,0,1,0,1
Camassia scilloides,0,0,1,0,8
Campanula americana,0,1,0,24,0
Campanulastrum americanum,0,0,1,0,22
Cardamine concatenata,0,0,1,0,106
Cardamine douglassii,0,0,1,0,1
Carex albursina,0,0,1,0,4
Carex blanda,1,0,0,24,30
Carex cephalophora,0,0,1,0,1
Carex cristatella,0,0,1,0,1
Carex granularis,0,0,1,0,2
Carex gravida,0,1,0,2,0
Carex grisea,0,0,1,0,1
Carex hirtifolia,1,0,0,18,21
Carex hIrtifolia,0,0,1,0,1
Carex jamesii,0,0,1,0,8
Carex lacustris,0,0,1,0,2
Carex muskingumensis,0,0,1,0,2
Carex pensylvanica,1,0,0,8,11
Carex rosea,1,0,0,4,4
Carex sp.,0,0,1,0,137
Carex sparganioides,0,1,0,2,0
Carex species,0,1,0,60,0
Carex tribuloides,1,0,0,2,4
Carex vulpinoidea,1,0,0,4,1
Carex woodii,0,0,1,0,2
Carya cordiformis,1,0,0,44,40
Carya ovata,1,0,0,18,10
Carya sp.,0,0,1,0,2
Carya species,0,1,0,6,0
Caulophyllum thalictroides,1,0,0,4,4
Celastrus orbiculatus,0,0,1,0,30
Celastrus scandens,1,0,0,32,2
Celtis occidentalis,1,0,0,36,69
Cerastium sp.,0,0,1,0,5
Cerastium vulgatum,0,0,1,0,1
Cercis canadensis,1,0,0,48,38
Chenopodium album,1,0,0,6,6
Chenopodium sp.,0,0,1,0,2
Chrysanthemum leucanthemum,0,0,1,0,8
Chrysanthemum leucanthemum pinnatifidum,1,0,0,16,1
Cinna arundinacea,0,0,1,0,1
Circaea lutetiana,0,0,1,0,397
Circaea lutetiana canadensis,0,1,0,316,0
Cirsium arvense,1,0,0,44,12
Cirsium sp.,0,0,1,0,5
Cirsium vulgare,1,0,0,4,4
Cladrastis kentukea,0,0,1,0,1
Cladrastis lutea,0,1,0,8,0
Claytonia virginica,0,0,1,0,96
Clematis virginiana,0,0,1,0,2
Clinopodium vulgare,0,0,1,0,11
Convolvulus arvensis,0,1,0,22,0
Convolvulus sepium,1,0,0,10,24
Convolvulus sp.,0,0,1,0,15
Convolvulus species,0,1,0,2,0
Conyza canadensis,0,0,1,0,1
Coreopsis tripteris,0,0,1,0,2
Cornus obliqua,0,0,1,0,1
Cornus racemosa,1,0,0,42,20
Cornus sp.,0,0,1,0,9
Coronilla varia,0,1,0,16,0
Crataegus sp.,0,0,1,0,31
Crataegus species,0,1,0,190,0
Cryptotaenia canadensis,0,0,1,0,17
Cystopteris protrusa,0,0,1,0,2
Dactylis glomerata,1,0,0,48,18
Danthonia spicata,1,0,0,2,1
Daucus carota,1,0,0,36,39
Desmodium canadense,0,0,1,0,1
Desmodium species,0,1,0,2,0
Dicentra cucullaria,0,0,1,0,9
Dichanthelium acuminatum,0,0,1,0,2
Dichanthelium sp.,0,0,1,0,4
Dioscorea villosa,1,0,0,6,9
Dipsacus laciniatus,0,0,1,0,3
Dipsacus sp.,0,0,1,0,4
Dipsacus sylvestris,1,0,0,4,3
Dodecatheon meadia,1,0,0,2,3
Duchesnea indica,1,0,0,2,1
Echinochloa crusgalli,0,0,1,0,1
Echinocystis lobata,0,0,1,0,1
Ellisia nyctelea,0,0,1,0,2
Elymus canadensis,0,0,1,0,1
Elymus hystrix,0,0,1,0,27
Elymus repens,0,0,1,0,8
Elymus sp.,0,0,1,0,7
Elymus villosus,1,0,0,2,11
Elymus virginicus,0,0,1,0,6
Enemion biternatum,0,0,1,0,2
Epilobium coloratum,1,0,0,2,3
Epilobium hirsutum,0,0,1,0,1
Equisetum arvense,0,0,1,0,1
Erechtites hieracifolia,0,1,0,2,0
Erechtites hieraciifolia,0,0,1,0,17
Erigeron annuus,1,0,0,8,13
Erigeron canadensis,1,0,0,6,1
Erigeron philadelphicus,0,0,1,0,2
Erigeron sp.,0,0,1,0,7
Erigeron strigosus,1,0,0,2,6
Erythronium albidum,0,0,1,0,174
Euonymus alata,0,0,1,0,5
Euonymus alatus,1,0,0,14,9
Euonymus atropurpureus,0,1,0,12,0
Euonymus europaeus,0,0,1,0,1
Euonymus fortunei,0,0,1,0,1
Euonymus sp.,0,0,1,0,10
Euonymus species,0,1,0,10,0
Eupatorium altissimum,0,0,1,0,1
Eupatorium rugosum,0,1,0,88,0
Eupatorium serotinum,0,0,1,0,1
Eupatorium sp.,0,0,1,0,1
Eutrochium maculatum,0,0,1,0,3
Eutrochium purpureum,0,0,1,0,29
Festuca elatior,0,1,0,14,0
Festuca sp.,0,0,1,0,2
Festuca species,0,1,0,8,0
Festuca subverticillata,0,0,1,0,6
Ficaria verna,0,0,1,0,1
Floerkea proserpinacoides,0,0,1,0,57
Forb species,0,1,0,2,0
Fragaria vesca americana,0,1,0,2,0
Fragaria virginiana,1,0,0,34,51
Fraxinus - Collections,0,1,0,12,0
Fraxinus americana,1,0,0,546,29
Fraxinus pennsylvanica,0,0,1,0,130
Fraxinus pennsylvanica subintegerrima,0,1,0,400,0
Fraxinus quadrangulata,1,0,0,2,5
Fraxinus seedling,0,1,0,2,0
Fraxinus sp.,0,0,1,0,234
Fraxinus species,0,1,0,24,0
Galium aparine,1,0,0,2,54
Galium asprellum,0,1,0,4,0
Galium circaezans,0,0,1,0,11
Galium concinnum,0,0,1,0,1
Galium obtusum,0,1,0,2,0
Galium sp.,0,0,1,0,10
Galium species,0,1,0,42,0
Galium triflorum,1,0,0,10,78
Geranium maculatum,1,0,0,98,107
Geum canadense,1,0,0,190,253
Geum sp.,0,0,1,0,1
Geum vernum,0,0,1,0,1
Glechoma hederacea,1,0,0,12,13
Gleditsia triacanthos,1,0,0,28,10
Glyceria striata,1,0,0,2,7
Grass species,0,1,0,4,0
Gymnocladus dioica,0,1,0,8,0
Gymnocladus dioicus,0,0,1,0,4
Hackelia virginiana,1,0,0,54,101
Hedeoma hispida,0,0,1,0,1
Helenium autumnale,0,0,1,0,2
Helianthus decapetalus,0,0,1,0,4
Helianthus divaricatus,1,0,0,2,1
Helianthus grosseserratus,0,0,1,0,5
Helianthus hirsutus,0,0,1,0,8
Helianthus sp.,0,0,1,0,6
Helianthus species,0,1,0,2,0
Helianthus strumosus,1,0,0,4,1
Hepatica acutiloba,1,0,0,2,4
Hesperis matronalis,0,0,1,0,7
Hickory species,0,1,0,2,0
Hordeum jubatum,0,0,1,0,1
Hydrastis canadensis,1,0,0,2,1
Hydrophyllum appendiculatum,0,0,1,0,10
Hydrophyllum sp.,0,0,1,0,1
Hydrophyllum virginianum,1,0,0,16,16
Hypericum perforatum,0,0,1,0,3
Hystrix patula,0,1,0,8,0
Impatiens capensis,1,0,0,44,39
Impatiens pallida,1,0,0,40,61
Impatiens sp.,0,0,1,0,143
Impatiens species,0,1,0,2,0
Isopyrum biternatum,0,1,0,2,0
Juglans cinerea,0,1,0,8,0
Juglans nigra,1,0,0,174,106
Juncus dudleyi,1,0,0,2,2
Juncus sp.,0,0,1,0,2
Juncus tenuis,0,0,1,0,1
Juniperus virginiana,1,0,0,2,2
Lactuca biennis,0,0,1,0,5
Lactuca canadensis,1,0,0,2,6
Lactuca floridana,1,0,0,2,5
Lactuca serriola,0,1,0,2,0
Lactuca sp.,0,0,1,0,11
Lactuca species,0,1,0,2,0
Lamium purpureum,0,0,1,0,1
Laportea canadensis,0,0,1,0,10
Leersia oryzoides,1,0,0,2,7
Leersia virginica,1,0,0,6,16
Leitneria floridana,0,0,1,0,1
Lespedeza violacea,0,0,1,0,1
Ligustrum sp.,0,0,1,0,1
Ligustrum species,0,1,0,2,0
Ligustrum vulgare,0,0,1,0,1
Linaria vulgaris,0,0,1,0,2
Liriodendron tulipifera,1,0,0,10,3
Lobelia inflata,0,0,1,0,1
Lonicera maackii,1,0,0,454,283
Lonicera morrowii,0,0,1,0,7
Lonicera prolifera,0,1,0,6,0
Lonicera reticulata,0,0,1,0,3
Lonicera sp.,0,0,1,0,7
Lonicera species,0,1,0,4,0
Lonicera tatarica,1,0,0,82,14
Lychnis alba,0,0,1,0,1
Lycopus americanus,1,0,0,2,1
Lycopus uniflorus,0,0,1,0,1
Lysimachia ciliata,0,0,1,0,1
Maclura pomifera,0,1,0,8,0
Magnolia acuminata,0,0,1,0,1
Maianthemum racemosum,0,0,1,0,162
Maianthemum stellatum,0,0,1,0,1
Maiathemum sp.,0,0,1,0,1
Malus pumila,0,0,1,0,1
Malus sieboldii,0,0,1,0,9
Malus sp.,0,0,1,0,6
Malus species,0,1,0,2,0
Medicago sativa,0,0,1,0,1
Melilotus alba,1,0,0,2,2
Melilotus officinalis,1,0,0,26,4
Melilotus sp.,0,0,1,0,5
Menispermum canadense,1,0,0,16,28
Mertensia virginica,0,0,1,0,9
Mint species,0,1,0,2,0
Monarda fistulosa,1,0,0,8,13
Morus alba,1,0,0,28,42
Morus rubra,0,1,0,12,0
No herbaceous,0,0,1,0,13
No Herbaceous,0,0,1,0,2
No shrubs/seedlings,0,0,1,0,213
No trees,0,0,1,0,56
NONE,0,1,0,378,0
Onoclea sensibilis,1,0,0,2,2
Osmorhiza claytonii,0,0,1,0,32
Osmorhiza longistylis,0,1,0,2,0
Osmorhiza sp.,0,0,1,0,11
Osmunda claytoniana,0,1,0,12,0
Ostrya virginiana,1,0,0,482,229
Oxalis europaea,0,1,0,4,0
Oxalis sp.,0,0,1,0,8
Oxalis stricta,1,0,0,56,45
Packera sp.,0,0,1,0,1
Panicum implicatum,0,1,0,4,0
Panicum sp.,0,0,1,0,1
Panicum species,0,1,0,2,0
Panicum spretum,0,1,0,2,0
Parthenocissus quinquefolia,1,0,0,556,373
Parthenocissus sp.,0,0,1,0,1
Pastinaca sativa,1,0,0,8,3
Penstemon digitalis,0,0,1,0,1
Penthorum sedoides,0,0,1,0,1
Persicaria coccinea,0,0,1,0,1
Persicaria punctata,0,0,1,0,3
Phalaris arundinacea,1,0,0,40,56
Phellodendron amurense,0,0,1,0,10
Phleum pratense,1,0,0,14,4
Phlox divaricata,0,0,1,0,8
Phragmites australis,0,0,1,0,1
Phryma leptostachya,1,0,0,2,25
Physalis species,0,1,0,8,0
Physalis virginiana,0,1,0,6,0
Phytolacca americana,1,0,0,2,26
Picea abies,0,0,1,0,1
Picea sp.,0,0,1,0,1
Picea species,0,1,0,6,0
Pilea pumila,1,0,0,20,61
Pinus banksiana,0,1,0,4,0
Pinus resinosa,1,0,0,10,2
Pinus sp.,0,0,1,0,3
Plantago lanceolata,1,0,0,20,6
Plantago major,0,0,1,0,1
Plantago rugelii,1,0,0,2,1
Poa compressa,0,0,1,0,2
Poa palustris,0,0,1,0,2
Poa pratensis,1,0,0,130,73
Poa sp.,0,0,1,0,1
Poa species,0,1,0,4,0
Podophyllum peltatum,1,0,0,10,16
Polemonium reptans,1,0,0,6,7
Polygonatum biflorum,0,0,1,0,34
Polygonatum canaliculatum,0,1,0,10,0
Polygonum convolvulus,0,0,1,0,10
Polygonum hydropiper,0,0,1,0,1
Polygonum lapathifolium,0,1,0,2,0
Polygonum pensylvanicum,0,0,1,0,3
Polygonum punctatum,0,1,0,2,0
Polygonum scandens,0,0,1,0,21
Polygonum sp.,0,0,1,0,6
Polygonum species,0,1,0,2,0
Polygonum virginianum,1,0,0,38,109
Polypodium virginianum,0,1,0,10,0
Polystichum acrostichoides,0,0,1,0,2
Populus alba,1,0,0,6,1
Populus deltoides,1,0,0,20,13
Populus grandidentata,1,0,0,4,1
Populus species,0,1,0,2,0
Potentilla norvegica,0,1,0,10,0
Potentilla recta,1,0,0,20,7
Potentilla simplex,1,0,0,22,34
Prenanthes alba,1,0,0,2,9
Prenanthes crepidinea,0,0,1,0,1
Prenanthes species,0,1,0,4,0
Prunella vulgaris,1,0,0,2,10
Prunella vulgaris lanceolata,0,1,0,10,0
Prunus americana,1,0,0,34,30
Prunus serotina,1,0,0,1078,425
Prunus sp.,0,0,1,0,3
Prunus species,0,1,0,6,0
Prunus virginiana,1,0,0,80,53
Pseudotsuga menziesii,0,1,0,8,0
Ptelea trifoliata,1,0,0,2,3
Pyrus calleryana,0,0,1,0,1
Quercus alba,1,0,0,650,382
Quercus bicolor,0,1,0,14,0
Quercus coccinea,0,1,0,2,0
Quercus ellipsoidalis,0,0,1,0,19
Quercus macrocarpa,1,0,0,282,150
Quercus palustris,1,0,0,12,5
Quercus rubra,1,0,0,564,279
Quercus sp.,0,0,1,0,5
Quercus species,0,1,0,18,0
Quercus velutina,0,0,1,0,2
Ranunculus abortivus,1,0,0,8,19
Ranunculus hispidus,1,0,0,16,65
Ranunculus pensylvanicus,0,1,0,2,0
Ranunculus recurvatus,0,0,1,0,1
Ranunculus sp.,0,0,1,0,2
Ranunculus species,0,1,0,6,0
Ratibida pinnata,0,1,0,2,0
Rhamnus carthartica,0,1,0,2,0
Rhamnus cathartica,1,0,0,534,257
Rhamnus frangula,1,0,0,10,1
Rhamnus species,0,1,0,8,0
Rhus glabra,1,0,0,4,1
Rhus radicans,0,1,0,170,0
Rhus typhina,0,1,0,8,0
Ribes americanum,0,0,1,0,2
Ribes cynosbati,0,0,1,0,3
Ribes missouriense,1,0,0,26,8
Ribes sp.,0,0,1,0,5
Ribes species,0,1,0,24,0
Robinia pseudoacacia,1,0,0,62,36
Robinia pseudocacia,0,1,0,2,0
Rosa carolina,0,0,1,0,3
Rosa multiflora,1,0,0,96,43
Rosa sp.,0,0,1,0,4
Rosa species,0,1,0,4,0
rttf,0,1,0,2,0
Rubus allegheniensis,1,0,0,52,52
Rubus idaeus strigosus,0,1,0,4,0
Rubus occidentalis,1,0,0,60,68
Rubus sp.,0,0,1,0,17
Rubus species,0,1,0,4,0
Rubus strigosus,0,0,1,0,4
Rudbeckia hirta,0,0,1,0,2
Rumex crispus,1,0,0,2,4
Rumex orbiculatus,0,1,0,2,0
Rumex sp.,0,0,1,0,2
Sagittaria latifolia,0,0,1,0,1
Salix amygdaloides,0,0,1,0,2
Salix interior,0,1,0,6,0
Salix nigra,1,0,0,66,50
Salix sp.,0,0,1,0,2
Sambucus canadensis,1,0,0,8,13
Sanguinaria canadensis,1,0,0,8,11
Sanicula canadensis,0,0,1,0,1
Sanicula odorata,0,0,1,0,44
Sanicula sp.,0,0,1,0,18
Schedonorus pratensis,0,0,1,0,9
Schizachyrium scoparium,0,0,1,0,2
Scirpus atrovirens,0,0,1,0,1
Scirpus fluviatilis,0,0,1,0,1
Scirpus species,0,1,0,2,0
Scrophularia marilandica,0,0,1,0,2
Scrophularia species,0,1,0,2,0
Scutellaria galericulata,0,0,1,0,1
Scutellaria lateriflora,1,0,0,2,3
Securigera varia,0,0,1,0,17
Sedge species,0,1,0,4,0
Setaria faberi,0,0,1,0,2
Setaria sp.,0,0,1,0,1
Setaria species,0,1,0,2,0
Shrub species,0,1,0,4,0
Silphium integrifolium,1,0,0,2,5
Silphium laciniatum,0,0,1,0,2
Sium suave,1,0,0,2,9
Smilacina racemosa,0,1,0,176,0
Smilacina species,0,1,0,12,0
Smilax ecirrhata,0,0,1,0,1
Smilax hispida,0,0,1,0,6
Smilax illinoensis,0,0,1,0,7
Smilax lasioneura,1,0,0,10,11
Smilax sp.,0,0,1,0,3
Smilax species,0,1,0,18,0
Smilax tamnoides hispida,1,0,0,2,1
Solanum americanum,0,0,1,0,5
Solanum carolinense,0,0,1,0,4
Solanum dulcamara,1,0,0,8,7
Solanum species,0,1,0,2,0
Solidago canadensis,1,0,0,44,143
Solidago flexicaulis,1,0,0,16,20
Solidago gigantea,1,0,0,4,4
Solidago graminifolia,0,1,0,8,0
Solidago nemoralis,0,0,1,0,1
Solidago rigida,0,0,1,0,2
Solidago sp.,0,0,1,0,4
Solidago species,0,1,0,18,0
Solidago tenuifolia,0,1,0,2,0
Solidago ulmifolia,1,0,0,32,61
Sonchus arvensis,0,0,1,0,5
Sonchus asper,0,1,0,2,0
Sonchus sp.,0,0,1,0,1
Sonchus species,0,1,0,2,0
Sorghastrum nutans,1,0,0,4,4
Sparganium eurycarpum,0,0,1,0,3
Spartina pectinata,0,0,1,0,1
Stachys palustris,0,0,1,0,2
Stachys sp.,0,0,1,0,1
Stachys tenuifolia,0,0,1,0,1
Staphylea trifolia,1,0,0,4,1
Stylophorum diphyllum,1,0,0,2,5
Symphyotrichum drummondii,0,0,1,0,123
Symphyotrichum ericoides,0,0,1,0,1
Symphyotrichum lanceolatum,0,0,1,0,6
Symphyotrichum lateriflorum,0,0,1,0,100
Symphyotrichum novae-angliae,0,0,1,0,9
Symphyotrichum ontarionis,0,0,1,0,1
Symphyotrichum pilosum,0,0,1,0,10
Symphyotrichum shortii,0,0,1,0,37
Symphyotrichum sp.,0,0,1,0,29
Taraxacum officinale,1,0,0,38,67
Teucrium canadense,0,0,1,0,6
Thalictrum dasycarpum,0,0,1,0,1
Thalictrum dioicum,1,0,0,16,1
Thalictrum thalictroides,0,0,1,0,2
Thelypteris palustris,0,0,1,0,1
Tilia americana,1,0,0,1728,849
Torilis japonica,0,0,1,0,7
Toxicodendron radicans,0,0,1,0,112
Tragopogon dubius,0,1,0,2,0
Tragopogon sp.,0,0,1,0,1
Tree species,0,1,0,2,0
Trifolium hybridum,1,0,0,12,8
Trifolium pratense,1,0,0,14,14
Trifolium repens,1,0,0,2,8
Trifolium sp.,0,0,1,0,2
Trillium grandiflorum,0,0,1,0,2
Trillium recurvatum,0,0,1,0,56
Triosteum perfoliatum,0,0,1,0,1
Typha angustifolia,0,1,0,2,0
Typha latifolia,1,0,0,2,2
Ulmus americana,1,0,0,944,365
Ulmus pumila,1,0,0,6,16
Ulmus rubra,1,0,0,476,83
Ulmus sp.,0,0,1,0,6
Ulmus species,0,1,0,58,0
Unidentified,0,0,1,0,174
Unidentified forb,0,1,0,4,0
Unidentified seedling,0,1,0,4,0
Unidentified shrub,0,1,0,2,0
Unidentified sp.,0,0,1,0,9
Unidentified species,0,1,0,238,0
Unidentified species-3-leaved,0,1,0,2,0
Unidentified species-milky sap,0,1,0,2,0
Unidentified species-single leaf,0,1,0,2,0
Urtica dioica,1,0,0,2,2
Uvularia grandiflora,0,0,1,0,9
Uvularia sessilifolia,0,1,0,2,0
Verbena urticifolia,0,0,1,0,2
Verbesina alternifolia,0,0,1,0,10
Vernonia altissima,0,0,1,0,1
Veronica sp.,0,0,1,0,1
Veronicastrum virginicum,0,0,1,0,1
Viburnum dentatum,0,0,1,0,11
Viburnum lentago,1,0,0,2,2
Viburnum opulus,1,0,0,40,19
Viburnum prunifolium,1,0,0,8,6
Viburnum rafinesquianum,0,1,0,4,0
Viburnum recognitum,0,1,0,44,0
Viburnum sp.,0,0,1,0,5
Viburnum species,0,1,0,52,0
Viburnumspecies,0,1,0,2,0
Vicia sp.,0,0,1,0,5
Vine species,0,1,0,2,0
Viola missouriensis,0,0,1,0,4
Viola pubescens,1,0,0,6,16
Viola sororia,0,0,1,0,39
Viola sp.,0,0,1,0,25
Viola species,0,1,0,46,0
Vitis riparia,1,0,0,76,40
Vitis sp.,0,0,1,0,2
Vitis vulpina,0,0,1,0,1
Weather station,0,0,1,0,1
