Plot ID Number,6-Letter Code,Species Name,Alive dbh (cm),Dead dbh (cm),Native/Alien,,
AA-118,TILAME,Tilia americana,34.04,,Native,,
AA-118,TILAME,Tilia americana,,10.9,Native,,
AA-118,ULMAME,Ulmus americana,18.80,,Native,,
AA-118,ULMRUB,Ulmus rubra,10.67,,Native,,
AA-118,ULMRUB,Ulmus rubra,17.78,,Native,,
AA-125,ACESAI,Acer saccharinum,14.22,,Native,,
AA-125,ACESAI,Acer saccharinum,26.92,,Native,,
AA-125,ACESAI,Acer saccharinum,30.48,,Native,,
AA-125,ACESAI,Acer saccharinum,43.69,,Native,,
AA-125,QUEMAC,Quercus macrocarpa,81.53,,Native,,
AA-125,TILAME,Tilia americana,10.41,,Native,,
AA-125,TILAME,Tilia americana,10.92,,Native,,
AA-125,TILAME,Tilia americana,12.70,,Native,,
AA-125,TILAME,Tilia americana,19.05,,Native,,
AA-125,ULMAME,Ulmus americana,,22.6,Native,,
AA-125,ULMRUB,Ulmus rubra,11.18,,Native,,
AA-125,ULMRUB,Ulmus rubra,14.48,,Native,,
AA-125,ULMRUB,Ulmus rubra,21.08,,Native,,
AA-125,ULMRUB,Ulmus rubra,,16.0,Native,,
AA-129,ACENIG,Acer nigrum,9.91,,Native,,
AA-129,CELOCC,Celtis occidentalis,27.94,,Native,,
AA-129,FRAPES,Fraxinus pennsylvanica subintegerrima,22.86,,Native,,
AA-129,FRAPES,Fraxinus pennsylvanica subintegerrima,24.89,,Native,,
AA-129,OSTVIR,Ostrya virginiana,12.45,,Native,,
AA-129,OSTVIR,Ostrya virginiana,13.46,,Native,,
AA-129,PRUSER,Prunus serotina,17.02,,Native,,
AA-129,TILAME,Tilia americana,16.00,,Native,,
AA-129,TILAME,Tilia americana,23.88,,Native,,
AA-129,TILAME,Tilia americana,35.31,,Native,,
AA-129,TILAME,Tilia americana,,17.0,Native,,
AA-129,TILAME,Tilia americana,,34.0,Native,,
AA-129,ULMAME,Ulmus americana,10.41,,Native,,
AA-129,ULMAME,Ulmus americana,14.99,,Native,,
AA-129,ULMAME,Ulmus americana,,34.8,Native,,
AA-129,ULMAME,Ulmus americana,,24.1,Native,,
Z-76,FRAPES,Fraxinus pennsylvanica subintegerrima,25.15,,Native,,
Z-76,PICEA SP,Picea species,27.69,,-,,
Z-76,PICEA SP,Picea species,34.29,,-,,
Z-76,QUERUB,Quercus rubra,18.54,,Native,,
Z-76,QUERUB,Quercus rubra,20.57,,Native,,
Z-76,QUERUB,Quercus rubra,21.59,,Native,,
AA-79,ACENIG,Acer nigrum,11.18,,Native,,
AA-79,ACENIG,Acer nigrum,22.10,,Native,,
AA-79,ACENIG,Acer nigrum,22.86,,Native,,
AA-79,ACENIG,Acer nigrum,29.72,,Native,,
AA-79,ACENIG,Acer nigrum,30.23,,Native,,
AA-79,POPALB,Populus alba ,20.83,,Alien,,
AA-79,POPALB,Populus alba ,33.53,,Alien,,
AA-79,QUERUB,Quercus rubra ,32.00,,Native,,
Z-86,CELOCC,Celtis occidentalis,11.43,,Native,,
Z-86,JUGNIG,Juglans nigra,51.31,,Native,,
Z-86,QUEALB,Quercus alba,43.69,,Native,,
Z-86,QUERUB,Quercus rubra,11.68,,Native,,
Z-86,TILAME,Tilia americana,23.62,,Native,,
Z-86,ULMAME,Ulmus americana,27.18,,Native,,
AA-95,OSTVIR,Ostrya virginiana,9.91,,Native,,
AA-95,QUEALB,Quercus alba ,35.81,,Native,,
AA-95,QUEALB,Quercus alba ,38.61,,Native,,
AA-95,QUEALB,Quercus alba ,43.43,,Native,,
AA-95,QUEALB,Quercus alba ,45.97,,Native,,
AA-95,QUEALB,Quercus alba ,46.23,,Native,,
AA-95,QUEALB,Quercus alba ,51.82,,Native,,
AA-95,TILAME,Tilia americana ,13.21,,Native,,
AA-95,TILAME,Tilia americana ,14.48,,Native,,
AA-95,TILAME,Tilia americana ,16.51,,Native,,
AA-95,ULMRUB,Ulmus rubra ,15.49,,Native,,
AY-130,RHACAT,Rhamnus cathartica,15.49,,Alien,,
AY-130,RHACAT,Rhamnus cathartica,24.89,,Alien,,
AY-130,RHACAT,Rhamnus cathartica,,13.5,Alien,,
AY-130,TILAME,Tilia americana,16.51,,Native,,
AY-130,TILAME,Tilia americana,22.86,,Native,,
AY-130,TILAME,Tilia americana,23.62,,Native,,
AY-130,TILAME,Tilia americana,26.42,,Native,,
AY-130,TILAME,Tilia americana,35.56,,Native,,
AY-130,TILAME,Tilia americana,36.83,,Native,,
AY-130,TILAME,Tilia americana,37.85,,Native,,
AY-130,TILAME,Tilia americana,49.02,,Native,,
AY-130,TILAME,Tilia americana,,19.1,Native,,
AX-131,NONE,NONE,-,-,-,,
AX-132,NONE,NONE,-,-,-,,
AY-122,NONE,NONE,-,-,-,,
AY-124,NONE,NONE,-,-,-,,
AY-127,OSTVIR,Ostrya virginiana,11.43,,Native,,
AY-127,OSTVIR,Ostrya virginiana,11.68,,Native,,
AY-127,OSTVIR,Ostrya virginiana,11.68,,Native,,
AY-127,OSTVIR,Ostrya virginiana,13.72,,Native,,
AY-127,OSTVIR,Ostrya virginiana,13.72,,Native,,
AY-127,OSTVIR,Ostrya virginiana,13.72,,Native,,
AY-127,OSTVIR,Ostrya virginiana,13.97,,Native,,
AY-127,OSTVIR,Ostrya virginiana,14.99,,Native,,
AY-127,OSTVIR,Ostrya virginiana,16.00,,Native,,
AY-127,RHACAT,Rhamnus cathartica,20.07,,Alien,,
AY-117,NONE,NONE,-,-,-,,
AZ-133,FRAAMA,Fraxinus americana,19.30,,Native,,
AZ-133,FRAAMA,Fraxinus americana,67.56,,Native,,
AZ-133,FRAAMA,Fraxinus americana,,11.7,Native,,
AZ-133,GYMDIO,Gymnocladus dioica,12.19,,Native,,
AZ-133,GYMDIO,Gymnocladus dioica,15.24,,Native,,
AZ-133,GYMDIO,Gymnocladus dioica,,12.2,Native,,
AZ-133,GYMDIO,Gymnocladus dioica,,37.1,Native,,
AZ-133,ULMRUB,Ulmus rubra,,15.2,Native,,
AZ-133,UNIDENTIFIED SP,Unidentified species,,26.2,-,,
AZ-138,NONE,NONE,-,-,-,,
B-109,NONE,NONE,-,-,-,,
B-115,NONE,NONE,-,-,-,,
B-127,ACENIG,Acer nigrum,15.49,,Native,,
B-127,ACENIG,Acer nigrum,16.76,,Native,,
B-127,PRUSER,Prunus serotina,21.08,,Native,,
B-127,QUEMAC,Quercus macrocarpa,66.80,,Native,,
B-127,QUERUB,Quercus rubra,53.85,,Native,,
B-127,TILAME,Tilia americana,11.18,,Native,,
B-127,TILAME,Tilia americana,15.75,,Native,,
B-127,TILAME,Tilia americana,15.75,,Native,,
B-127,ULMAME,Ulmus americana,16.26,,Native,,
B-127,UNIDENTIFIED SP,Unidentified species,,11.7,-,,
B-128,FRAPES,Fraxinus pennsylvanica subintegerrima,33.78,,Native,,
B-128,NONE,NONE,-,-,-,,
B-128,OSTVIR,Ostrya virginiana,10.16,,Native,,
B-128,PRUSER,Prunus serotina,20.57,,Native,,
B-128,QUEALB,Quercus alba,68.33,,Native,,
B-128,QUEMAC,Quercus macrocarpa,77.22,,Native,,
B-128,TILAME,Tilia americana,18.29,,Native,,
B-138,NONE,NONE,-,-,-,,
BB-106,NONE,NONE,-,-,-,,
BB-107,ACENIG,Acer nigrum,12.70,,Native,,
BB-107,FRAAMA,Fraxinus americana,11.68,,Native,,
BB-107,FRAAMA,Fraxinus americana,11.94,,Native,,
BB-107,FRAPES,Fraxinus pennsylvanica subintegerrima,23.37,,Native,,
BB-107,FRAPES,Fraxinus pennsylvanica subintegerrima,37.08,,Native,,
BB-107,QUEALB,Quercus alba,47.50,,Native,,
BB-107,QUEALB,Quercus alba,79.25,,Native,,
BB-116,ACENIG,Acer nigrum,71.63,,Native,,
BB-116,QUEALB,Quercus alba,62.74,,Native,,
BB-116,QUEALB,Quercus alba,67.31,,Native,,
BB-116,QUERUB,Quercus rubra,48.77,,Native,,
BB-116,ULMAME,Ulmus americana,14.48,,Native,,
BB-118,ACENIG,Acer nigrum,14.22,,Native,,
BB-118,FRAPES,Fraxinus pennsylvanica subintegerrima,12.70,,Native,,
BB-118,OSTVIR,Ostrya virginiana,12.45,,Native,,
BB-118,QUERUB,Quercus rubra,64.77,,Native,,
BB-118,QUERUB,Quercus rubra,74.42,,Native,,
BB-118,ULMRUB,Ulmus rubra,19.81,,Native,,
BB-121,ACENIG,Acer nigrum,11.18,,Native,,
BB-121,ACENIG,Acer nigrum,12.45,,Native,,
BB-121,FRAAMA,Fraxinus americana,12.95,,Native,,
BB-121,FRAAMA,Fraxinus americana,14.73,,Native,,
BB-121,OSTVIR,Ostrya virginiana,12.95,,Native,,
BB-121,QUERUB,Quercus rubra,69.60,,Native,,
BB-121,QUERUB,Quercus rubra,69.60,,Native,,
BB-121,ULMAME,Ulmus americana,10.92,,Native,,
BB-121,UNIDENTIFIED SP,Unidentified species,,11.7,-,,
BB-121,UNIDENTIFIED SP,Unidentified species,,14.7,-,,
BB-128,ACESAI,Acer saccharinum,10.16,,Native,,
BB-128,ACESAI,Acer saccharinum,13.46,,Native,,
BB-128,ACESAI,Acer saccharinum,26.42,,Native,,
BB-128,ULMAME,Ulmus americana,17.78,,Native,,
BB-140,JUGNIG,Juglans nigra,31.75,,Native,,
BB-140,ULMAME,Ulmus americana,18.80,,Native,,
BB-140,ULMAME,Ulmus americana,22.86,,Native,,
BB-140,ULMAME,Ulmus americana,42.16,,Native,,
BB-140,UNIDENTIFIED SP,Unidentified species,,30.2,-,,
BB-140,UNIDENTIFIED SP,Unidentified species,,37.6,-,,
BB-140,UNIDENTIFIED SP,Unidentified species,,22.4,-,,
BB-141,PRUSER,Prunus serotina,10.92,,Native,,
BB-141,PRUSER,Prunus serotina,15.49,,Native,,
BB-141,PRUSER,Prunus serotina,16.76,,Native,,
BB-141,PRUSER,Prunus serotina,18.29,,Native,,
BB-141,PRUSER,Prunus serotina,18.29,,Native,,
BB-141,RHACAT,Rhamnus cathartica,9.91,,Alien,,
BB-141,ULMAME,Ulmus americana,12.95,,Native,,
BB-141,ULMAME,Ulmus americana,35.31,,Native,,
BB-141,ULMAME,Ulmus americana,49.28,,Native,,
BB-141,ULMAME,Ulmus americana,54.10,,Native,,
BB-141,ULMAME,Ulmus americana,87.12,,Native,,
BB-144,FRAAMA,Fraxinus americana,12.45,,Native,,
BB-144,FRAAMA,Fraxinus americana,18.80,,Native,,
BB-144,PRUSER,Prunus serotina,22.10,,Native,,
BB-144,PRUSER,Prunus serotina,22.10,,Native,,
BB-144,PRUSER,Prunus serotina,22.35,,Native,,
BB-144,PRUSER,Prunus serotina,26.42,,Native,,
BB-144,PRUSER,Prunus serotina,28.45,,Native,,
BB-144,PRUSER,Prunus serotina,28.70,,Native,,
BB-144,PRUSER,Prunus serotina,29.21,,Native,,
BB-144,PRUSER,Prunus serotina,30.99,,Native,,
BB-144,PRUSER,Prunus serotina,,13.2,Native,,
BB-144,ULMAME,Ulmus americana,10.67,,Native,,
BB-144,ULMAME,Ulmus americana,17.27,,Native,,
BB-144,ULMRUB,Ulmus rubra,19.56,,Native,,
BB-144,ULMRUB,Ulmus rubra,26.42,,Native,,
BB-144,ULMRUB,Ulmus rubra,33.53,,Native,,
BB-144,ULMRUB,Ulmus rubra,,37.3,Native,,
BB-84,ACENIG,Acer nigrum,10.41,,Native,,
BB-84,ACENIG,Acer nigrum,10.92,,Native,,
BB-84,ACENIG,Acer nigrum,12.19,,Native,,
BB-84,ACENIG,Acer nigrum,15.24,,Native,,
BB-84,OSTVIR,Ostrya virginiana,11.18,,Native,,
BB-84,QUERUB,Quercus rubra ,38.10,,Native,,
BB-84,QUERUB,Quercus rubra ,51.82,,Native,,
BB-84,QUERUB,Quercus rubra ,56.13,,Native,,
BB-84,QUERUB,Quercus rubra ,82.55,,Native,,
BB-84,TILAME,Tilia americana ,11.68,,Native,,
BB-92,OSTVIR,Ostrya virginiana,17.02,,Native,,
BB-92,QUEALB,Quercus alba ,43.43,,Native,,
BB-92,QUEALB,Quercus alba ,61.21,,Native,,
C-105,NONE,NONE,-,-,-,,
C-111,QUERUB,Quercus rubra,28.19,,Native,,
C-111,QUERUB,Quercus rubra,42.67,,Native,,
C-111,QUERUB,Quercus rubra,46.99,,Native,,
C-111,QUERUB,Quercus rubra,51.31,,Native,,
C-111,QUERUB,Quercus rubra,,32.0,Native,,
C-111,RHACAT,Rhamnus cathartica,12.19,,Alien,,
C-111,UNIDENTIFIED SP,Unidentified species,,23.1,-,,
C-120,FRAAMA,Fraxinus americana,29.72,,Native,,
C-120,JUGCIN,Juglans cinerea,17.53,,Native,,
C-120,QUERUB,Quercus rubra,10.92,,Native,,
C-120,QUERUB,Quercus rubra,28.96,,Native,,
C-120,QUERUB,Quercus rubra,32.51,,Native,,
C-120,RHACAT,Rhamnus cathartica,10.41,,Alien,,
C-120,RHACAT,Rhamnus cathartica,13.46,,Alien,,
C-120,RHACAT,Rhamnus cathartica,16.51,,Alien,,
C-120,TILAME,Tilia americana,29.72,,Native,,
C-120,TILAME,Tilia americana,40.13,,Native,,
C-120,UNIDENTIFIED SP,Unidentified species,,13.5,-,,
C-120,UNIDENTIFIED SP,Unidentified species,,13.0,-,,
C-123,FRAAMA,Fraxinus americana,17.78,,Native,,
C-123,OSTVIR,Ostrya virginiana,9.91,,Native,,
C-123,OSTVIR,Ostrya virginiana,10.92,,Native,,
C-123,OSTVIR,Ostrya virginiana,12.95,,Native,,
C-123,OSTVIR,Ostrya virginiana,13.46,,Native,,
C-123,OSTVIR,Ostrya virginiana,13.72,,Native,,
C-123,OSTVIR,Ostrya virginiana,14.22,,Native,,
C-123,OSTVIR,Ostrya virginiana,14.99,,Native,,
C-123,OSTVIR,Ostrya virginiana,15.49,,Native,,
C-123,OSTVIR,Ostrya virginiana,15.75,,Native,,
C-123,OSTVIR,Ostrya virginiana,15.75,,Native,,
C-123,OSTVIR,Ostrya virginiana,15.75,,Native,,
C-123,QUEALB,Quercus alba,53.85,,Native,,
C-123,TILAME,Tilia americana,27.43,,Native,,
C-125,OSTVIR,Ostrya virginiana,19.56,,Native,,
C-125,OSTVIR,Ostrya virginiana,22.35,,Native,,
C-125,PRUSER,Prunus serotina,15.75,,Native,,
C-125,QUEALB,Quercus alba,56.13,,Native,,
C-125,QUEALB,Quercus alba,72.39,,Native,,
C-125,QUERCUS SP,Quercus species,,61.2,-,,
C-136,CARCOR,Carya cordiformis,14.48,,Native,,
C-136,CERCAN,Cercis canadensis,10.16,,Native,,
C-136,CERCAN,Cercis canadensis,10.92,,Native,,
C-136,CERCAN,Cercis canadensis,11.18,,Native,,
C-136,CERCAN,Cercis canadensis,12.70,,Native,,
C-136,CERCAN,Cercis canadensis,13.72,,Native,,
C-136,FRAAMA,Fraxinus americana,11.43,,Native,,
C-136,FRAAMA,Fraxinus americana,12.95,,Native,,
C-136,FRAAMA,Fraxinus americana,12.95,,Native,,
C-136,FRAAMA,Fraxinus americana,13.21,,Native,,
C-136,JUGNIG,Juglans nigra,15.24,,Native,,
C-136,JUGNIG,Juglans nigra,17.78,,Native,,
DD-103,NONE,NONE,-,-,-,,
CC-106,NONE,NONE,-,-,-,,
CC-109,FRAAMA,Fraxinus americana,11.18,,Native,,
CC-109,PRUSER,Prunus serotina,10.92,,Native,,
CC-109,PRUSER,Prunus serotina,11.43,,Native,,
CC-109,QUEALB,Quercus alba,37.59,,Native,,
CC-109,QUEALB,Quercus alba,41.15,,Native,,
CC-109,QUEALB,Quercus alba,48.77,,Native,,
CC-109,QUEALB,Quercus alba,50.55,,Native,,
CC-109,QUEALB,Quercus alba,61.47,,Native,,
CC-109,TILAME,Tilia americana,15.49,,Native,,
CC-109,ULMAME,Ulmus americana,14.99,,Native,,
CC-109,ULMAME,Ulmus americana,15.49,,Native,,
BB-115,ACENIG,Acer nigrum,11.43,,Native,,
BB-115,ACENIG,Acer nigrum,12.19,,Native,,
BB-115,OSTVIR,Ostrya virginiana,12.19,,Native,,
BB-115,PRUSER,Prunus serotina,12.19,,Native,,
BB-115,QUEMAC,Quercus macrocarpa,74.68,,Native,,
BB-115,QUERUB,Quercus rubra,31.50,,Native,,
BB-115,QUERUB,Quercus rubra,65.28,,Native,,
BB-115,TILAME,Tilia americana,12.70,,Native,,
BB-115,TILAME,Tilia americana,15.49,,Native,,
BB-115,TILAME,Tilia americana,21.08,,Native,,
BB-115,TILAME,Tilia americana,23.37,,Native,,
BB-115,ULMAME,Ulmus americana,,15.5,Native,,
BB-115,ULMAME,Ulmus americana,,16.8,Native,,
BB-115,UNIDENTIFIED SP,Unidentified species,,27.4,-,,
CC-123,ACENIG,Acer nigrum,57.66,,Native,,
CC-123,ULMAME,Ulmus americana,15.49,,Native,,
CC-138,ACENEG,Acer negundo,20.32,,Native,,
CC-138,ACENEG,Acer negundo,27.43,,Native,,
CC-138,ACESAI,Acer saccharinum,17.78,,Native,,
CC-138,ACESAI,Acer saccharinum,21.34,,Native,,
CC-138,ACESAI,Acer saccharinum,31.24,,Native,,
CC-138,ACESAI,Acer saccharinum,35.05,,Native,,
CC-138,FRAPES,Fraxinus pennsylvanica subintegerrima,10.67,,Native,,
CC-138,RHACAT,Rhamnus cathartica,10.16,,Alien,,
CC-138,ULMAME,Ulmus americana,9.91,,Native,,
CC-138,ULMAME,Ulmus americana,18.29,,Native,,
CC-138,ULMAME,Ulmus americana,18.80,,Native,,
CC-138,ULMAME,Ulmus americana,50.29,,Native,,
CC-138,ULMUS SP,Ulmus species,,24.1,-,,
CC-138,ULMUS SP,Ulmus species,,30.2,-,,
CC-144,FRAAMA,Fraxinus americana,10.16,,Native,,
CC-144,FRAAMA,Fraxinus americana,10.67,,Native,,
CC-144,FRAAMA,Fraxinus americana,12.19,,Native,,
CC-144,FRAAMA,Fraxinus americana,14.73,,Native,,
CC-144,PRUSER,Prunus serotina,23.11,,Native,,
CC-144,PRUSER,Prunus serotina,23.88,,Native,,
CC-144,PRUSER,Prunus serotina,24.13,,Native,,
CC-144,PRUSER,Prunus serotina,26.42,,Native,,
CC-144,PRUSER,Prunus serotina,27.43,,Native,,
CC-144,PRUSER,Prunus serotina,27.94,,Native,,
CC-144,PRUSER,Prunus serotina,55.37,,Native,,
CC-144,ULMRUB,Ulmus rubra,24.13,,Native,,
CC-144,ULMRUB,Ulmus rubra,25.91,,Native,,
CC-76,OSTVIR,Ostrya virginiana,9.91,,Native,,
CC-76,OSTVIR,Ostrya virginiana,9.91,,Native,,
CC-76,OSTVIR,Ostrya virginiana,12.70,,Native,,
CC-76,OSTVIR,Ostrya virginiana,13.21,,Native,,
CC-76,PRUSER,Prunus serotina ,32.26,,Native,,
CC-76,QUERUB,Quercus rubra ,21.34,,Native,,
CC-76,QUERUB,Quercus rubra ,26.42,,Native,,
CC-76,QUERUB,Quercus rubra ,29.97,,Native,,
CC-76,QUERUB,Quercus rubra ,52.07,,Native,,
CC-78,ACENIG,Acer nigrum,27.69,,Native,,
CC-78,OSTVIR,Ostrya virginiana,9.91,,Native,,
CC-78,OSTVIR,Ostrya virginiana,11.68,,Native,,
CC-78,QUEALB,Quercus alba ,70.61,,Native,,
CC-78,QUERUB,Quercus rubra ,22.61,,Native,,
CC-78,TILAME,Tilia americana ,35.31,,Native,,
CC-86,ACENIG,Acer nigrum,13.72,,Native,,
CC-86,ACENIG,Acer nigrum,25.91,,Native,,
CC-86,ACENIG,Acer nigrum,76.71,,Native,,
CC-86,OSTVIR,Ostrya virginiana,9.91,,Native,,
CC-86,OSTVIR,Ostrya virginiana,11.18,,Native,,
CC-86,QUERUB,Quercus rubra ,27.18,,Native,,
CC-96,ACENIG,Acer nigrum,10.41,,Native,,
CC-96,OSTVIR,Ostrya virginiana,12.70,,Native,,
CC-96,QUEALB,Quercus alba ,30.73,,Native,,
CC-96,QUEALB,Quercus alba ,35.56,,Native,,
CC-96,QUEALB,Quercus alba ,46.99,,Native,,
CC-96,QUEALB,Quercus alba ,48.26,,Native,,
CC-96,QUEALB,Quercus alba ,,46.0,Native,,
CC-96,TILAME,Tilia americana ,10.92,,Native,,
CC-96,TILAME,Tilia americana ,11.94,,Native,,
CC-96,TILAME,Tilia americana ,14.73,,Native,,
CC-96,TILAME,Tilia americana ,18.54,,Native,,
CC-96,TILAME,Tilia americana ,20.57,,Native,,
CC-96,TILAME,Tilia americana ,27.43,,Native,,
CC-96,UNIDENTIFIED SP,Unidentified species,,27.2,-,,
CC-97,ACENIG,Acer nigrum,10.16,,Native,,
CC-97,ACENIG,Acer nigrum,18.29,,Native,,
CC-97,ACENIG,Acer nigrum,19.81,,Native,,
CC-97,ACENIG,Acer nigrum,21.34,,Native,,
CC-97,ACENIG,Acer nigrum,31.50,,Native,,
