plot,code,species,cover,freq,native,physiognomy,habit
BB-107,ASTLAT,Aster lateriflorus,2,1,Native,Forb,Forb
BB-107,LONMAA,Lonicera maackii,5,1,Alien,Shrub,Woody
BB-107,SMIRAC,Smilacina racemosa,2,1,Native,Forb,Forb
BB-107,SOLFLE,Solidago flexicaulis,2,1,Native,Forb,Forb
BB-116,ACENIG,Acer nigrum,3,1,Native,Tree,Woody
BB-116,ALLPET,Alliaria petiolata,4,1,Alien,Forb,Forb
BB-116,SMIRAC,Smilacina racemosa,8,1,Native,Forb,Forb
BB-116,SOLFLE,Solidago flexicaulis,10,1,Native,Forb,Forb
BB-118,CIRLUC,Circaea lutetiana canadensis,4,1,Native,Forb,Forb
BB-118,HYDVIR,Hydrophyllum virginianum,2,1,Native,Forb,Forb
BB-118,PARQUI,Parthenocissus quinquefolia,20,1,Native,Woody vine,Woody
BB-118,RHURAD,Rhus radicans,3,1,Native,Woody vine,Woody
BB-121,ACENIG,Acer nigrum,30,1,Native,Tree,Woody
BB-121,ALLPET,Alliaria petiolata,1,1,Alien,Forb,Forb
BB-121,ASACAN,Asarum canadense,35,1,Native,Forb,Forb
BB-121,CAREX SP,Carex species,4,1,-,Sedge,Graminoid
BB-121,CAREX SP,Carex species,25,1,-,Sedge,Graminoid
BB-121,RHACAT,Rhamnus cathartica,6,1,Alien,Understory tree,Woody
BB-121,RIBES SP,Ribes species,12,1,-,Shrub,Woody
BB-128,BOECYC,Boehmeria cylindrica,80,1,Native,Forb,Forb
BB-128,PHAARU,Phalaris arundinacea,20,1,Alien,Grass,Graminoid
BB-140,NONE,NONE,-,,-,-,-
BB-141,ALLPET,Alliaria petiolata ,2,1,Alien,Forb,Forb
BB-144,ALLPET,Alliaria petiolata ,8,1,Alien,Forb,Forb
BB-144,RHACAT,Rhamnus cathartica,1,1,Alien,Understory tree,Woody
BB-84,ALLPET,Alliaria petiolata ,1,1,Alien,Forb,Forb
BB-84,EUOATR,Euonymus atropurpureus ,2,1,Native,Shrub,Woody
BB-84,OSTVIR,Ostrya virginiana ,1,1,Native,Tree,Woody
BB-84,SMIRAC,Smilacina racemosa ,2,1,Native,Forb,Forb
BB-92,GEUCAN,Geum canadense ,1,1,Native,Forb,Forb
BB-92,LONPRO,Lonicera prolifera  ,2,1,Native,Shrub,Woody
BB-92,OSTVIR,Ostrya virginiana ,1,1,Native,Tree,Woody
BB-92,PARQUI,Parthenocissus quinquefolia ,50,1,Native,Woody vine,Woody
BB-92,QUEALB,Quercus alba ,1,1,Native,Tree,Woody
BB-92,SONCHUS SP,Sonchus species,1,1,-,Forb,Forb
BB-92,TAROFF,Taraxacum officinale ,1,1,Alien,Forb,Forb
C-105,AGRGRY,Agrimonia gryposepala,15,1,Native,Forb,Forb
C-105,CONARV,Convolvulus arvensis,8,1,Alien,Forb,Forb
C-105,CORRAC,Cornus racemosa,40,1,Native,Shrub,Woody
C-105,FRAVIR,Fragaria virginiana,1,1,Native,Forb,Forb
C-105,PARQUI,Parthenocissus quinquefolia,4,1,Native,Woody vine,Woody
C-105,PHYVIG,Physalis virginiana,1,1,Native,Forb,Forb
C-105,POAPRA,Poa pratensis,90,1,Alien,Grass,Graminoid
C-105,RHACAT,Rhamnus cathartica,12,1,Alien,Understory tree,Woody
C-105,SOLCAN,Solidago canadensis,6,1,Native,Forb,Forb
C-111,LONTAT,Lonicera tatarica,3,1,Alien,Shrub,Woody
C-111,PARQUI,Parthenocissus quinquefolia,3,1,Native,Woody vine,Woody
C-120,RHACAT,Rhamnus cathartica,20,1,Alien,Understory tree,Woody
C-120,ROSMUL,Rosa multiflora,3,1,Alien,Shrub,Woody
C-123,ALLPET,Alliaria petiolata,3,1,Alien,Forb,Forb
C-123,ASTLAT,Aster lateriflorus,1,1,Native,Forb,Forb
C-123,CIRLUC,Circaea lutetiana canadensis,3,1,Native,Forb,Forb
C-123,GEUCAN,Geum canadense,1,1,Native,Forb,Forb
C-123,HACVIR,Hackelia virginiana,3,1,Native,Forb,Forb
C-123,ULMAME,Ulmus americana,3,1,Native,Tree,Woody
C-125,ASTLAT,Aster lateriflorus,3,1,Native,Forb,Forb
C-125,ASTSAD,Aster sagittifolius drummondii,12,1,Native,Forb,Forb
C-125,CIRLUC,Circaea lutetiana canadensis,15,1,Native,Forb,Forb
C-125,CXBLAN,Carex blanda,4,1,Native,Sedge,Graminoid
C-125,CXROSE,Carex rosea,6,1,Native,Sedge,Graminoid
C-125,EUPRUG,Eupatorium rugosum,4,1,Native,Forb,Forb
C-125,GERMAC,Geranium maculatum,2,1,Native,Forb,Forb
C-125,GEUCAN,Geum canadense,5,1,Native,Forb,Forb
C-125,POLREP,Polemonium reptans,2,1,Native,Forb,Forb
C-125,RHURAD,Rhus radicans,15,1,Native,Woody vine,Woody
C-125,RUBALL,Rubus allegheniensis,10,1,Native,Shrub,Woody
C-125,RUBOCC,Rubus occidentalis,18,1,Native,Shrub,Woody
C-125,SCROPHULARIA SP,Scrophularia species,1,1,-,Forb,Forb
C-125,ULMAME,Ulmus americana,1,1,Native,Tree,Woody
C-136,PARQUI,Parthenocissus quinquefolia,5,1,Native,Woody vine,Woody
C-136,RHACAT,Rhamnus cathartica,10,1,Alien,Understory tree,Woody
C-136,UNIDENTIFIED SP 1,Unidentified species,20,1,-,-,-
C-136,UNIDENTIFIED SP 2,Unidentified species,80,1,-,-,-
DD-103,BROINE,Bromus inermis ,40,1,Alien,Grass,Graminoid
DD-103,DACGLO,Dactylis glomerata ,5,1,Alien,Grass,Graminoid
DD-103,FRAVIR,Fragaria virginiana ,5,1,Native,Forb,Forb
DD-103,PANSPR,Panicum spretum ,2,1,Native,Grass,Graminoid
DD-103,PARQUI,Parthenocissus quinquefolia ,5,1,Native,Woody vine,Woody
DD-103,PHLPRA,Phleum pratense ,2,1,Alien,Grass,Graminoid
DD-103,POAPRA,Poa pratensis ,3,1,Alien,Grass,Graminoid
DD-103,RHURAD,Rhus radicans ,40,1,Native,Woody vine,Woody
DD-103,TRIHYB,Trifolium hybridum ,2,1,Alien,Forb,Forb
CC-106,ACHMIL,Achillea millefolium,2,1,Alien,Forb,Forb
CC-106,AGRALA,Agrostis alba ,5,1,Alien,Grass,Graminoid
CC-106,AGRREP,Agropyron repens,40,1,Alien,Grass,Graminoid
CC-106,CRATAEGUS SP,Crataegus species,5,1,-,Tree,Woody
CC-106,CXGRAV,Carex gravida,2,1,Native,Sedge,Graminoid
CC-106,DACGLO,Dactylis glomerata,20,1,Alien,Grass,Graminoid
CC-106,DANSPI,Danthonia spicata,2,1,Native,Grass,Graminoid
CC-106,FRAVIR,Fragaria virginiana,25,1,Native,Forb,Forb
CC-106,LONMAA,Lonicera maackii,5,1,Alien,Shrub,Woody
CC-106,PARQUI,Parthenocissus quinquefolia,5,1,Native,Woody vine,Woody
CC-106,PHLPRA,Phleum pratense,2,1,Alien,Grass,Graminoid
CC-106,PLALAN,Plantago lanceolata,2,1,Alien,Forb,Forb
CC-106,POAPRA,Poa pratensis,5,1,Alien,Grass,Graminoid
CC-106,POTSIS,Potentilla simplex,3,1,Native,Forb,Forb
CC-106,RHACAT,Rhamnus cathartica,2,1,Alien,Understory tree,Woody
CC-109,ALLPET,Alliaria petiolata,5,1,Alien,Forb,Forb
CC-109,ASTSHO,Aster shortii,5,1,Native,Forb,Forb
CC-109,CIRLUC,Circaea lutetiana canadensis,2,1,Native,Forb,Forb
CC-109,GALIUM SP,Galium species,20,1,-,Forb,Forb
CC-109,GEUCAN,Geum canadense,2,1,Native,Forb,Forb
CC-109,PARQUI,Parthenocissus quinquefolia,20,1,Native,Woody vine,Woody
CC-109,QUERUB,Quercus rubra,3,1,Native,Tree,Woody
CC-109,RHACAT,Rhamnus cathartica,4,1,Alien,Understory tree,Woody
CC-109,RHURAD,Rhus radicans,3,1,Native,Woody vine,Woody
CC-109,SMIRAC,Smilacina racemosa,4,1,Native,Forb,Forb
CC-109,SOLULM,Solidago ulmifolia,25,1,Native,Forb,Forb
CC-109,TAROFF,Taraxacum officinale,2,1,Alien,Forb,Forb
BB-115,ALLPET,Alliaria petiolata,2,1,Alien,Forb,Forb
BB-115,ARITRI,Arisaema triphyllum,25,1,Native,Forb,Forb
BB-115,CIRLUC,Circaea lutetiana canadensis,8,1,Native,Forb,Forb
BB-115,IMPPAL,Impatiens pallida,5,1,Native,Forb,Forb
BB-115,PILPUM,Pilea pumila,8,1,Native,Forb,Forb
CC-123,ACENIG,Acer nigrum,5,1,Native,Tree,Woody
CC-123,ALLPET,Alliaria petiolata,1,1,Alien,Forb,Forb
CC-123,CIRLUC,Circaea lutetiana canadensis,5,1,Native,Forb,Forb
CC-123,IMPCAP,Impatiens capensis,5,1,Native,Forb,Forb
CC-123,PARQUI,Parthenocissus quinquefolia,5,1,Native,Woody vine,Woody
CC-123,RHURAD,Rhus radicans,2,1,Native,Woody vine,Woody
CC-138,CAREX SP,Carex species,2,1,-,Sedge,Graminoid
CC-138,GLYSTR,Glyceria striata,2,1,Native,Grass,Graminoid
CC-138,HYDVIR,Hydrophyllum virginianum,2,1,Native,Forb,Forb
CC-138,PARQUI,Parthenocissus quinquefolia,15,1,Native,Woody vine,Woody
CC-138,RHACAT,Rhamnus cathartica,3,1,Alien,Understory tree,Woody
CC-144,ALLPET,Alliaria petiolata ,8,1,Alien,Forb,Forb
CC-144,LONMAA,Lonicera maackii ,4,1,Alien,Shrub,Woody
CC-144,PARQUI,Parthenocissus quinquefolia,2,1,Native,Woody vine,Woody
CC-144,RHACAT,Rhamnus cathartica,1,1,Alien,Understory tree,Woody
CC-144,RHURAD,Rhus radicans,2,1,Native,Woody vine,Woody
CC-76,ARITRI,Arisaema triphyllum ,10,1,Native,Forb,Forb
CC-76,CAMAME,Campanula americana ,5,1,Native,Forb,Forb
CC-76,CAREX SP,Carex species,2,1,-,Sedge,Graminoid
CC-76,CIRLUC,Circaea lutetiana canadensis ,15,1,Native,Forb,Forb
CC-76,EUOALA,Euonymus alatus  ,10,1,Alien,Shrub,Woody
CC-76,EUPRUG,Eupatorium rugosum ,2,1,Native,Forb,Forb
CC-76,LONMAA,Lonicera maackii  ,3,1,Alien,Shrub,Woody
CC-76,PARQUI,Parthenocissus quinquefolia ,40,1,Native,Woody vine,Woody
CC-76,TAROFF,Taraxacum officinale ,2,1,Alien,Forb,Forb
CC-78,ALLPET,Alliaria petiolata ,10,1,Alien,Forb,Forb
CC-78,ARITRI,Arisaema triphyllum ,5,1,Native,Forb,Forb
CC-78,CIRLUC,Circaea lutetiana canadensis  ,8,1,Native,Forb,Forb
CC-78,GERMAC,Geranium maculatum ,2,1,Native,Forb,Forb
CC-78,GEUCAN,Geum canadense ,3,1,Native,Forb,Forb
CC-78,IMPPAL,Impatiens pallida,40,1,Native,Forb,Forb
CC-78,PARQUI,Parthenocissus quinquefolia ,10,1,Native,Woody vine,Woody
CC-78,SMIRAC,Smilacina racemosa ,5,1,Native,Forb,Forb
CC-86,ALLPET,Alliaria petiolata ,3,1,Alien,Forb,Forb
CC-86,CIRLUC,Circaea lutetiana canadensis ,2,1,Native,Forb,Forb
CC-86,OSTVIR,Ostrya virginiana ,5,1,Native,Tree,Woody
CC-86,PARQUI,Parthenocissus quinquefolia ,8,1,Native,Woody vine,Woody
CC-86,PHRLEP,Phryma leptostachya    ,3,1,Native,Forb,Forb
CC-86,SMIRAC,Smilacina racemosa ,1,1,Native,Forb,Forb
CC-97,ARITRI,Arisaema triphyllum ,4,1,Native,Forb,Forb
CC-97,CRATAEGUS SP,Crataegus species,2,1,-,Tree,Woody
CC-97,FRAPES,Fraxinus pennsylvanica subintegerrima ,3,1,Native,Tree,Woody
CC-97,GEUCAN,Geum canadense ,1,1,Native,Forb,Forb
CC-97,OSTVIR,Ostrya virginiana ,1,1,Native,Tree,Woody
CC-97,PARQUI,Parthenocissus quinquefolia ,3,1,Native,Woody vine,Woody
