Date,Sampler,Plot ID Number,6-Letter Code,Species Name,% Cover,Cover Class (1-7),# of Woody Seedlings ,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/18,WO,AA118,ACESAU,Acer saccharum,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/18,WO,BB116,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/18,WO,BB121,ACESAU,Acer saccharum,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/18,WO,CC123,ACESAU,Acer saccharum,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/18,"SML, TML",DD115,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/18,"MP, WO",DD83,ACESAU,Acer saccharum,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/18,"SML, TPL",EE111,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/18,"MP, WO",EE140,ACESAU,Acer saccharum,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/18,CB,EE77,ACESAU,Acer saccharum,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/18,CB,EE78,ACESAU,Acer saccharum,9,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/18,"DS, JLL",F134,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/18,"MP, WO",FF91,ACESAU,Acer saccharum,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/18,"DS, JLL",G132,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/18,"MP, WO",GG92,ACESAU,Acer saccharum,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/21/18,WO,HB125,ACESAU,Acer saccharum,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/21/18,WO,HB126,ACESAU,Acer saccharum,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/21/18,"MP, BS",HB136,ACESAU,Acer saccharum,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/21/18,WO,HC126,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/21/18,"MP, BS",HD134,ACESAU,Acer saccharum,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/19/18,WO,HD147,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/22/18,"MP, BS",HH139,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/18,"MP, WO",HH79,ACESAU,Acer saccharum,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/18,"MP, WO",HH87,ACESAU,Acer saccharum,50,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/18,JLL,I109,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/18,"DS, JLL",I133,ACESAU,Acer saccharum,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/22/18,"MP, BS",II122,ACESAU,Acer saccharum,10,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/18,"DS, JLL",II130,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/18,"DS, JLL",II131,ACESAU,Acer saccharum,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/18,"DS, JLL",II136,ACESAU,Acer saccharum,25,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/18,"DS, JLL",J133,ACESAU,Acer saccharum,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/18,WO,K109,ACESAU,Acer saccharum,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/18,WO,K115,ACESAU,Acer saccharum,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/18,WO,K116,ACESAU,Acer saccharum,30,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/18,"DS, JLL",K130,ACESAU,Acer saccharum,40,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/18,"JL, JLL",K137,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/18,"DS, JLL",KK131,ACESAU,Acer saccharum,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/18,WO,KK145,ACESAU,Acer saccharum,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/18,"MP, WO",KK80,ACESAU,Acer saccharum,50,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/18,WO,L111,ACESAU,Acer saccharum,15,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/18,CB,L120,ACESAU,Acer saccharum,50,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/18,CB,L121,ACESAU,Acer saccharum,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/18,"DS, JLL",LL128,ACESAU,Acer saccharum,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/18,"DS, JLL",LL135,ACESAU,Acer saccharum,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/18,WO,LL141,ACESAU,Acer saccharum,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/18,WO,M118,ACESAU,Acer saccharum,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/18,"JL, JLL",M134,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/18,"JL, JLL",M137,ACESAU,Acer saccharum,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/18,WO,N113,ACESAU,Acer saccharum,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/18,WO,N115,ACESAU,Acer saccharum,30,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/18,WO,N116,ACESAU,Acer saccharum,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/18,CB,N123,ACESAU,Acer saccharum,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/18,"DS, JLL",NN126,ACESAU,Acer saccharum,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/18,SML,NN136,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/18,WO,NN140,ACESAU,Acer saccharum,8,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/18,JLL,O109,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/18,JLL,O112,ACESAU,Acer saccharum,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/18,CB,O121,ACESAU,Acer saccharum,75,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/18,"JL, JLL",O135,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/18,CB,P124,ACESAU,Acer saccharum,60,5,,1/2 of plot is base of red oak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/18,CB,P126,ACESAU,Acer saccharum,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/18,SML,PP134,ACESAU,Acer saccharum,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/18,JLL,Q110,ACESAU,Acer saccharum,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/18,CB,Q120,ACESAU,Acer saccharum,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/18,CB,Q122,ACESAU,Acer saccharum,35,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/18,CB,Q127,ACESAU,Acer saccharum,45,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/18,CB,Q129,ACESAU,Acer saccharum,7,3,, - mostly leaf litter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/18,"JL, JLL",Q132,ACESAU,Acer saccharum,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/18,"JL, JLL",Q135,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/18,SML,QQ133,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/18,CB,QQ139,ACESAU,Acer saccharum,52,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/18,CB,R113,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/18,CB,R116,ACESAU,Acer saccharum,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/18,CB,R128,ACESAU,Acer saccharum,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/18,CB,R75,ACESAU,Acer saccharum,12,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/18,CB,RR131,ACESAU,Acer saccharum,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/18,"PS, SML",RR134,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/18,CB,RR139,ACESAU,Acer saccharum,60,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/18,JLL,S105,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/18,CB,S111,ACESAU,Acer saccharum,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/18,CB,S75,ACESAU,Acer saccharum,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/18,CB,T114,ACESAU,Acer saccharum,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/18,CB,T122,ACESAU,Acer saccharum,20,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/18,"SML, TPL",T127,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/18,"JL, JLL",T132,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/18,CB,T74,ACESAU,Acer saccharum,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/18,CB,T75,ACESAU,Acer saccharum,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/18,CB,T77,ACESAU,Acer saccharum,12,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/18,CB,TT132,ACESAU,Acer saccharum,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/18,JLL,U107,ACESAU,Acer saccharum,35,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/18,CB,U110,ACESAU,Acer saccharum,20,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/18,CB,U111,ACESAU,Acer saccharum,10,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/18,"SML, TPL",U130,ACESAU,Acer saccharum,8,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/18,CB,UU132,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/18,WO,V113,ACESAU,Acer saccharum,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/18,WO,V121,ACESAU,Acer saccharum,30,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/18,"JL, JLL",V134,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/18,"JL, JLL",V136,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/21/18,WO,VV122,ACESAU,Acer saccharum,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/18,CB,VV133,ACESAU,Acer saccharum,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/18,WO,W112,ACESAU,Acer saccharum,25,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/18,"SML, TPL",W128,ACESAU,Acer saccharum,30,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/18,"SML, TPL",W132,ACESAU,Acer saccharum,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/21/18,"MP, BS",WW140,ACESAU,Acer saccharum,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/18,WO,X118,ACESAU,Acer saccharum,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/18,WO,X125,ACESAU,Acer saccharum,40,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/21/18,"MP, BS",XX134,ACESAU,Acer saccharum,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/21/18,"MP, BS",XX142,ACESAU,Acer saccharum,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/18,JLL,Y105,ACESAU,Acer saccharum,10,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/18,WO,Y112,ACESAU,Acer saccharum,10,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/18,WO,Z118,ACESAU,Acer saccharum,80,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/18,WO,Z122,ACESAU,Acer saccharum,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/18,"SML, TPL",Z128,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/18,"SML, TPL",Z132,ACESAU,Acer saccharum,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/18,JLL,I107,ACESAU,Acer saccharum ,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/18,"MP, WO",II90,ACESAU,Acer saccharum ,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/18,"JL, JLL",BB106,ACHMIL,Achillea millefolium,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/18,WO,C105,ACHMIL,Achillea millefolium,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/18,JLL,SS104,ACHMIL,Achillea millefolium,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/18,JLL,VV109,ACHMIL,Achillea millefolium,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/18,JLL,WW106,ACHMIL,Achillea millefolium,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/18,CB,Y94,ACHMIL,Achillea millefolium,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/18,CB,EE77,ACTPAC,Actaea pachypoda,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/18,WO,A121,AGEALT,Ageratina altissima,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/18,WO,A124,AGEALT,Ageratina altissima,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/18,WO,A126,AGEALT,Ageratina altissima,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/18,"CB, WO",A128,AGEALT,Ageratina altissima,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/5/18,WO,A133,AGEALT,Ageratina altissima,40,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/18,WO,A135,AGEALT,Ageratina altissima,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/18,WO,A137,AGEALT,Ageratina altissima,75,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/18,WO,AA117,AGEALT,Ageratina altissima,40,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/18,CB,AA79,AGEALT,Ageratina altissima,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/18,"MP, WO",AA95,AGEALT,Ageratina altissima,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/18,WO,B127,AGEALT,Ageratina altissima,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/18,"CB, WO",B128,AGEALT,Ageratina altissima,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/18,"MP, WO",BB84,AGEALT,Ageratina altissima,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/18,"MP, WO",BB92,AGEALT,Ageratina altissima,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/18,CB  ,C123,AGEALT,Ageratina altissima,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/18,WO,C127,AGEALT,Ageratina altissima,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/18,WO,C136,AGEALT,Ageratina altissima,75,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/18,WO,CC110,AGEALT,Ageratina altissima,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/18,"MP, WO",CC86,AGEALT,Ageratina altissima,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/18,"MP, WO",CC96,AGEALT,Ageratina altissima,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/22/18,"MP, BS",CC97,AGEALT,Ageratina altissima,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/18,"MP, WO",CC99,AGEALT,Ageratina altissima,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/18,WO,D117,AGEALT,Ageratina altissima,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/18,WO,D123,AGEALT,Ageratina altissima,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/18,CB  ,D125,AGEALT,Ageratina altissima,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/18,JLL,D134,AGEALT,Ageratina altissima,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/18,"JL, JLL",DD100,AGEALT,Ageratina altissima,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/18,"MP, WO",DD83,AGEALT,Ageratina altissima,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/18,"MP, WO",DD90,AGEALT,Ageratina altissima,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/22/18,WO,EE128,AGEALT,Ageratina altissima,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/18,"MP, WO",EE88,AGEALT,Ageratina altissima,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/18,JLL,F113,AGEALT,Ageratina altissima,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/18,JLL,F114,AGEALT,Ageratina altissima,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/5/18,WO,F122,AGEALT,Ageratina altissima,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/18,WO,F129,AGEALT,Ageratina altissima,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/18,WO,G126,AGEALT,Ageratina altissima,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/18,"DS, JLL",G132,AGEALT,Ageratina altissima,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/18,WO,GG146,AGEALT,Ageratina altissima,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/18,"MP, WO",GG92,AGEALT,Ageratina altissima,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/18,"MP, WO",GG94,AGEALT,Ageratina altissima,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/18,"PSD, SML",HH100,AGEALT,Ageratina altissima,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/18,"SML, TML",HH112,AGEALT,Ageratina altissima,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/18,"MP, WO",HH87,AGEALT,Ageratina altissima,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/18,"SML, TML",II105,AGEALT,Ageratina altissima,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/18,"MP, WO",II87,AGEALT,Ageratina altissima,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/18,SML,JJ102,AGEALT,Ageratina altissima,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/18,"SML, TML",JJ105,AGEALT,Ageratina altissima,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/18,"SML, TML",JJ111,AGEALT,Ageratina altissima,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/18,"JL, JLL",JJ114,AGEALT,Ageratina altissima,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/22/18,"MP, BS",JJ121,AGEALT,Ageratina altissima,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/22/18,"MP, BS",JJ96,AGEALT,Ageratina altissima,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
