Date,Sampler,Plot ID Number,6-Letter Code,Species Name,Category: Seedling(S)/ Sapling(U)/ Shrub(SH),Sapling Category:< 5cm or > 5cm ,# Stems ,NOTES,,,,,,,
5/18/18,"CB, PB, WO",EE126,CELOCC,Celtis occidentalis,S,,1,,,,,,,,
5/18/18,"CB, PB, WO",EE128,CELOCC,Celtis occidentalis,S,,5,,,,,,,,
4/30/18,"CB, PB",I107,CELOCC,Celtis occidentalis,U,<5,1,,,,,,,,
5/4/18,"BS, WO",II122,CELOCC,Celtis occidentalis,S,,1,,,,,,,,
5/15/18,"MO, WS",NN136,CELOCC,Celtis occidentalis,U,<5,1,,,,,,,,
5/9/18,"JLL, WS",PP134,CELOCC,Celtis occidentalis,S,,2,,,,,,,,
6/6/18,"JL, SL, SZ",RR95,CELOCC,Celtis occidentalis,U,<5,1,,,,,,,,
5/20/18,CB,U96,CELOCC,Celtis occidentalis,U,>5,1,,,,,,,,
5/3/18,"WO, BS",V136,CELOCC,Celtis occidentalis,S,,1,,,,,,,,
5/2/18,"BS, WO",X125,CELOCC,Celtis occidentalis,S,,1,,,,,,,,
5/20/18,CB,A137,CERCAN,Cercis canadensis,U,>5,1,,,,,,,,
5/20/18,CB,C136,CERCAN,Cercis canadensis,U,<5,2,,,,,,,,
5/2/18,"CB, PB",JJ102,CERCAN,Cercis canadensis,S,,1,,,,,,,,
5/22/18,JLL,MM94,CERCAN,Cercis canadensis,U,<5,1,,,,,,,,
6/6/18,"JL, SL, SZ",MM97,CERCAN,Cercis canadensis,U,<5,2,,,,,,,,
5/8/18,"KC, WO",R83,CERCAN,Cercis canadensis,S,,1,,,,,,,,
5/7/18,"SML, WO",U95,CERCAN,Cercis canadensis,S,,1,,,,,,,,
5/7/18,"SML, WO",V95,CERCAN,Cercis canadensis,S,,5,,,,,,,,
5/15/18,"CB, PB",HB131,Cornus sp.,Cornus sp.,SH,,1,likely Cornus stolonifera,,,,,,,
5/17/18,CB,HE136,Cornus sp.,Cornus sp.,SH,,1,,,,,,,,
5/3/18,"JLL, PB",AA114,Crataegus sp.,Crataegus sp.,S,,1,maybe dead due to fire,,,,,,,
5/10/18,"BS, SL",EE134,Crataegus sp.,Crataegus sp.,U,>5,1,,,,,,,,
5/17/18,"BS, WS",RR138,Crataegus sp.,Crataegus sp.,U,<5,1,,,,,,,,
5/17/18,"BS, WS",TT145,Crataegus sp.,Crataegus sp.,S,,1,,,,,,,,
5/22/18,CB,EE77,EUOALA,Euonymus alatus,SH,,1,,,,,,,,
5/22/18,CB,HH79,EUOALA,Euonymus alatus,SH,,9,,,,,,,,
4/30/18,"CB, PB",K109,EUOEUR,Euonymus europaeus,SH,,1,,,,,,,,
5/22/18,CB,DD78,Euonymus sp.,Euonymus sp.,SH,,2,,,,,,,,
5/1/18,"WS, JLL",L120,FRAAMA,Fraxinus americana,U,<5,1,,,,,,,,
5/16/18,"BS, WS",PP143,FRAAMA,Fraxinus americana,S,,2,,,,,,,,
5/10/18,"PB, WO",FF138,FRAPES,Fraxinus pennsylvanica,U,>5,1,,,,,,,,
5/16/18,"CB, WO",HB141,FRAPES,Fraxinus pennsylvanica,S,,1,,,,,,,,
5/4/18,"BS, WO",II122,FRAPES,Fraxinus pennsylvanica,U,<5,1,,,,,,,,
5/15/18,"MO, WS",SS136,FRAPES,Fraxinus pennsylvanica,U,<5,1,,,,,,,,
5/17/18,"BS, WS",TT145,FRAPES,Fraxinus pennsylvanica,U,<5,2,,,,,,,,
5/7/18,"SML, WO",W95,FRAPES,Fraxinus pennsylvanica,S,,1,,,,,,,,
5/15/18,"CB, PB",ZZ134,FRAPES,Fraxinus pennsylvanica,S,,2,,,,,,,,
5/16/18,"CB, WO",ZZ142,FRAPES,Fraxinus pennsylvanica,U,<5,1,,,,,,,,
5/2/18,"BS, WO",A131,FRAPES,Fraxinus pennsylvanica ,U,<5,1,,,,,,,,
5/3/18,"JLL, PB",AA114,FRAPES,Fraxinus pennsylvanica ,S,,3,appears to be live,,,,,,,
5/7/18,"PB, SZ",AA95,FRAPES,Fraxinus pennsylvanica ,U,<5,2,,,,,,,,
5/2/18,"BS, WO",AY130,FRAPES,Fraxinus pennsylvanica ,U,<5,1,,,,,,,,
5/3/18,"JLL, PB",BB116,FRAPES,Fraxinus pennsylvanica ,S,,2,,,,,,,,
4/30/18,"WS, JLL",E109,FRAPES,Fraxinus pennsylvanica ,U,<5,2,One ash could be dead,,,,,,,
4/30/18,"WS, JLL",F113,FRAPES,Fraxinus pennsylvanica ,S,,1,,,,,,,,
5/16/18,PB,HA124,FRAPES,Fraxinus pennsylvanica ,S,,1,,,,,,,,
5/17/18,CB,HB136,FRAPES,Fraxinus pennsylvanica ,U,<5,1,,,,,,,,
5/17/18,CB,HD135,FRAPES,Fraxinus pennsylvanica ,U,<5,2,,,,,,,,
5/4/18,"BS, WO",II122,FRAPES,Fraxinus pennsylvanica ,S,,1,,,,,,,,
4/30/18,"CB, PB",K109,FRAPES,Fraxinus pennsylvanica ,U,<5,6,,,,,,,,
5/18/18,"CB, PB, WO",KK122,FRAPES,Fraxinus pennsylvanica ,S,,3,,,,,,,,
5/15/18,"SZ, WO",NN126,FRAPES,Fraxinus pennsylvanica ,S,,2,,,,,,,,
5/23/18,CB,RR134,FRAPES,Fraxinus pennsylvanica ,S,,1,,,,,,,,
5/15/18,"MO, WS",SS136,FRAPES,Fraxinus pennsylvanica ,U,<5,1,,,,,,,,
5/10/18,"PB, WO",TT132,FRAPES,Fraxinus pennsylvanica ,S,,1,,,,,,,,
5/7/18,"SML, WO",V95,FRAPES,Fraxinus pennsylvanica ,S,,2,,,,,,,,
5/15/18,"SZ, WO",WW137,FRAPES,Fraxinus pennsylvanica ,S,,5,,,,,,,,
5/18/18,CB,WW140,FRAPES,Fraxinus pennsylvanica ,S,,7,,,,,,,,
5/9/18,"PB, WO",YY122,FRAPES,Fraxinus pennsylvanica ,S,,2,,,,,,,,
5/16/18,"CB, WO",ZZ142,FRAPES,Fraxinus pennsylvanica ,S,,2,,,,,,,,
5/2/18,"BS, WO",A131,FRAQUA,Fraxinus quadrangulata,U,<5,1,,,,,,,,
5/2/18,"BS, WO",A133,Fraxinus sp.,Fraxinus sp.,S,,2,,,,,,,,
5/2/18,"BS, WO",A133,Fraxinus sp.,Fraxinus sp.,U,>5,1,,,,,,,,
5/3/18,"JLL, PB",AA116,Fraxinus sp.,Fraxinus sp.,S,,1,,,,,,,,
5/3/18,"PB, JLL",AA118,Fraxinus sp.,Fraxinus sp.,S,,1,,,,,,,,
5/2/18,"BS, WO",AZ133,Fraxinus sp.,Fraxinus sp.,S,,1,,,,,,,,
5/3/18,"PB, JLL",BB121,Fraxinus sp.,Fraxinus sp.,S,,2,,,,,,,,
5/4/18,"BS, WO",FF117,Fraxinus sp.,Fraxinus sp.,S,,2,,,,,,,,
5/2/18,JLL,G132,Fraxinus sp.,Fraxinus sp.,S,,1,,,,,,,,
5/3/18,"JLL, PB",HH112,Fraxinus sp.,Fraxinus sp.,S,,1,SH-4 From stump dead,,,,,,,
5/2/18,JLL,J133,Fraxinus sp.,Fraxinus sp.,S,,2,,,,,,,,
5/4/18,"JLL, PB",LL114,Fraxinus sp.,Fraxinus sp.,U,<5,3,,,,,,,,
5/15/18,"MO, WS",LL141,Fraxinus sp.,Fraxinus sp.,S,,1,,,,,,,,
5/2/18,JLL,N128,Fraxinus sp.,Fraxinus sp.,S,,1,,,,,,,,
5/4/18,"JLL, PB",NN114,Fraxinus sp.,Fraxinus sp.,S,,1,,,,,,,,
5/2/18,JLL,O131,Fraxinus sp.,Fraxinus sp.,S,,1,,,,,,,,
5/2/18,"WS, JLL",O136,Fraxinus sp.,Fraxinus sp.,U,<5,1,,,,,,,,
5/9/18,"JLL, WS",PP134,Fraxinus sp.,Fraxinus sp.,U,<5,2,,,,,,,,
5/9/18,"JLL, WS",QQ131,Fraxinus sp.,Fraxinus sp.,S,,2,,,,,,,,
5/10/18,"BS, TP",QQ146,Fraxinus sp.,Fraxinus sp.,S,,0,,,,,,,,
5/7/18,"JLL, WS",RR113,Fraxinus sp.,Fraxinus sp.,S,,1,,,,,,,,
5/7/18,"JLL, WS",RR113,Fraxinus sp.,Fraxinus sp.,U,>5,1,dead sapling,,,,,,,
5/17/18,"BS, WS",RR138,Fraxinus sp.,Fraxinus sp.,S,,1,,,,,,,,
5/17/18,"BS, WS",RR139,Fraxinus sp.,Fraxinus sp.,S,,1,,,,,,,,
5/2/18,"WS, JLL",S134,Fraxinus sp.,Fraxinus sp.,U,<5,1,,,,,,,,
5/16/18,"BS, WS",SS142,Fraxinus sp.,Fraxinus sp.,U,<5,2,,,,,,,,
5/7/18,"SML, WO",U95,Fraxinus sp.,Fraxinus sp.,S,,2,,,,,,,,
5/7/18,"SML, WO",U95,Fraxinus sp.,Fraxinus sp.,U,<5,2,,,,,,,,
5/1/18,CB,W106,Fraxinus sp.,Fraxinus sp.,U,<5,1,Could be dead,,,,,,,
5/8/18,"JLL, SML",W87,Fraxinus sp.,Fraxinus sp.,S,,1,,,,,,,,
5/8/18,"MO, PB",LL90,JUGNIG,Juglans nigra,U,<5,1,,,,,,,,
5/2/18,"WS, JLL",P138,JUGNIG,Juglans nigra,S,,1,,,,,,,,
5/11/18,PB,UU129,JUGNIG,Juglans nigra,U,>5,1,,,,,,,,
5/7/18,"SML, WO",V95,JUGNIG,Juglans nigra,S,,1,,,,,,,,
5/9/18,"PB, WO",YY122,JUNVIR,Juniperus virginiana ,U,<5,1,,,,,,,,
5/20/18,CB,P95,LEIFLO,Leitneria floridana,SH,,39,"introduced and accessioned. corkwood, labelled in Collection",,,,,,,
5/10/18,"JLL, WS",A116,LONMAA,Lonicera maackii,SH,,2,,,,,,,,
5/9/18,"BS, SML",BB140,LONMAA,Lonicera maackii,SH,,4,,,,,,,,
5/8/18,"MO, PB",CC86,LONMAA,Lonicera maackii,SH,,3,,,,,,,,
6/6/18,JLL,E110,LONMAA,Lonicera maackii,SH,,2,,,,,,,,
5/18/18,"CB, PB, WO",EE128,LONMAA,Lonicera maackii,SH,,4,,,,,,,,
5/10/18,"BS, SL",EE134,LONMAA,Lonicera maackii,SH,,21,,,,,,,,
5/1/18,"SZ, WO",F122,LONMAA,Lonicera maackii,SH,,5,,,,,,,,
5/10/18,"PB, WO",FF138,LONMAA,Lonicera maackii,SH,,10,,,,,,,,
5/10/18,"BS, SL",GG135,LONMAA,Lonicera maackii,SH,,12,,,,,,,,
5/17/18,"BS, WS",GG140,LONMAA,Lonicera maackii,SH,,13,,,,,,,,
5/16/18,PB,HA124,LONMAA,Lonicera maackii,SH,,17,,,,,,,,
5/16/18,PB,HA127,LONMAA,Lonicera maackii,SH,,2,,,,,,,,
5/15/18,"CB, PB",HA132,LONMAA,Lonicera maackii,SH,,3,,,,,,,,
5/17/18,CB,HA147,LONMAA,Lonicera maackii,SH,,16,,,,,,,,
5/16/18,PB,HB125,LONMAA,Lonicera maackii,SH,,18,,,,,,,,
5/16/18,PB,HB126,LONMAA,Lonicera maackii,SH,,5,,,,,,,,
5/15/18,"CB, PB",HB129,LONMAA,Lonicera maackii,SH,,13,,,,,,,,
5/17/18,CB,HB136,LONMAA,Lonicera maackii,SH,,4,,,,,,,,
5/17/18,CB,HB138,LONMAA,Lonicera maackii,SH,,4,,,,,,,,
5/16/18,"CB, WO",HB141,LONMAA,Lonicera maackii,SH,,7,,,,,,,,
5/16/18,"CB, WO",HB143,LONMAA,Lonicera maackii,SH,,4,,,,,,,,
5/17/18,CB,HB146,LONMAA,Lonicera maackii,SH,,4,,,,,,,,
5/16/18,PB,HC126,LONMAA,Lonicera maackii,SH,,11,,,,,,,,
5/15/18,"CB, PB",HC130,LONMAA,Lonicera maackii,SH,,8,,,,,,,,
5/17/18,CB,HC135,LONMAA,Lonicera maackii,SH,,6,,,,,,,,
5/16/18,"CB, WO",HC142,LONMAA,Lonicera maackii,SH,,6,,,,,,,,
5/16/18,"CB, WO",HC144,LONMAA,Lonicera maackii,SH,,4,,,,,,,,
5/16/18,"CB, WO",HD142,LONMAA,Lonicera maackii,SH,,7,,,,,,,,
5/17/18,CB,HD143,LONMAA,Lonicera maackii,SH,,3,,,,,,,,
5/8/18,"MO, PB",HH87,LONMAA,Lonicera maackii,SH,,3,,,,,,,,
5/3/18,"JLL, PB",I138,LONMAA,Lonicera maackii,SH,,1,,,,,,,,
5/24/18,JLL ,II130,LONMAA,Lonicera maackii,SH,,14,,,,,,,,
5/23/18,CB,II131,LONMAA,Lonicera maackii,SH,,2,,,,,,,,
5/15/18,"MO, WS",II142,LONMAA,Lonicera maackii,SH,,4,,,,,,,,
5/16/18,"BS, WS",II142,LONMAA,Lonicera maackii,SH,,5,,,,,,,,
5/15/18,"SZ, WO",JJ129,LONMAA,Lonicera maackii,SH,,3,,,,,,,,
6/5/18,"MO, SZ",KK131,LONMAA,Lonicera maackii,SH,,2,,,,,,,,
5/1/18,"CB, PB",L111,LONMAA,Lonicera maackii,SH,,6,,,,,,,,
5/22/18,JLL,LL125,LONMAA,Lonicera maackii,SH,,6,,,,,,,,
5/15/18,"SZ, WO",LL128,LONMAA,Lonicera maackii,SH,,2,,,,,,,,
5/10/18,"PB, WO",LL133,LONMAA,Lonicera maackii,SH,,6,,,,,,,,
5/22/18,JLL,LL93,LONMAA,Lonicera maackii,SH,,4,,,,,,,,
5/1/18,"CB, PB",N110,LONMAA,Lonicera maackii,SH,,4,,,,,,,,
5/15/18,"SZ, WO",NN126,LONMAA,Lonicera maackii,SH,,10,,,,,,,,
5/22/18,JLL,NN140,LONMAA,Lonicera maackii,SH,,1,,,,,,,,
5/10/18,"BS, SL",NN146,LONMAA,Lonicera maackii,SH,,9,,,,,,,,
5/9/18,"JLL, WS",OO129,LONMAA,Lonicera maackii,SH,,6,,,,,,,,
5/9/18,"JLL, WS",OO130,LONMAA,Lonicera maackii,SH,,6,,,,,,,,
6/5/18,"MO, SZ",PP128,LONMAA,Lonicera maackii,SH,,18,,,,,,,,
5/9/18,"JLL, WS",PP132,LONMAA,Lonicera maackii,SH,,1,,,,,,,,
5/9/18,"JLL, WS",PP134,LONMAA,Lonicera maackii,SH,,10,,,,,,,,
5/23/18,CB,PP135,LONMAA,Lonicera maackii,SH,,3,,,,,,,,
5/9/18,"JLL, WS",QQ131,LONMAA,Lonicera maackii,SH,,4,,,,,,,,
5/9/18,"JLL, WS",QQ132,LONMAA,Lonicera maackii,SH,,5,,,,,,,,
5/9/18,"JLL, WS",QQ133,LONMAA,Lonicera maackii,SH,,3,1 dead RHACAT,,,,,,,
5/9/18,"PB, WO",RR126,LONMAA,Lonicera maackii,SH,,3,,,,,,,,
6/5/18,"JL, SL, SZ",RR127,LONMAA,Lonicera maackii,SH,,11,,,,,,,,
5/9/18,"PB, WO",RR128,LONMAA,Lonicera maackii,SH,,4,,,,,,,,
5/9/18,"PB, WO",RR129,LONMAA,Lonicera maackii,SH,,9,,,,,,,,
5/9/18,"PB, WO",RR129,LONMAA,Lonicera maackii,SH,,8,,,,,,,,
6/5/18,"JL, SL, SZ",RR131,LONMAA,Lonicera maackii,SH,,6,,,,,,,,
5/23/18,CB,RR134,LONMAA,Lonicera maackii,SH,,3,,,,,,,,
5/8/18,"JLL, SML",S75,LONMAA,Lonicera maackii,SH,,1,,,,,,,,
5/20/18,CB,S92,LONMAA,Lonicera maackii,SH,,7,,,,,,,,
5/23/18,CB,SS130,LONMAA,Lonicera maackii,SH,,10,,,,,,,,
5/15/18,"MO, WS",SS136,LONMAA,Lonicera maackii,SH,,1,,,,,,,,
5/15/18,"MO, WS",SS136,LONMAA,Lonicera maackii,SH,,1,,,,,,,,
5/16/18,"BS, WS",SS142,LONMAA,Lonicera maackii,SH,,5,,,,,,,,
5/8/18,"KC, WO",T88,LONMAA,Lonicera maackii,SH,,3,,,,,,,,
5/10/18,"PB, WO",TT129,LONMAA,Lonicera maackii,SH,,5,,,,,,,,
5/10/18,"PB, WO",TT130,LONMAA,Lonicera maackii,SH,,3,,,,,,,,
5/10/18,"PB, WO",TT131,LONMAA,Lonicera maackii,SH,,7,,,,,,,,
5/10/18,"PB, WO",TT132,LONMAA,Lonicera maackii,SH,,3,,,,,,,,
5/17/18,"BS, WS",TT145,LONMAA,Lonicera maackii,SH,,1,,,,,,,,
5/1/18,"CB, PB",U107,LONMAA,Lonicera maackii,SH,,1,,,,,,,,
5/7/18,"SML, WO",U95,LONMAA,Lonicera maackii,SH,,3,,,,,,,,
6/5/18,"JL, SL  ",UU121,LONMAA,Lonicera maackii,SH,,3,,,,,,,,
5/9/18,"PB, WO",UU125,LONMAA,Lonicera maackii,SH,,4,,,,,,,,
5/11/18,PB,UU129,LONMAA,Lonicera maackii,SH,,5,,,,,,,,
6/5/18,"MO, SZ",UU130,LONMAA,Lonicera maackii,SH,,11,,,,,,,,
6/5/18,"MO, SZ",UU130,LONMAA,Lonicera maackii,SH,,9,,,,,,,,
5/11/18,PB,UU132,LONMAA,Lonicera maackii,SH,,6,,,,,,,,
5/9/18,"PB, WO",VV122,LONMAA,Lonicera maackii,SH,,3,,,,,,,,
5/11/18,PB,VV133,LONMAA,Lonicera maackii,SH,,14,,,,,,,,
5/9/18,"PB, WO",WW124,LONMAA,Lonicera maackii,SH,,7,,,,,,,,
5/11/18,PB,WW130,LONMAA,Lonicera maackii,SH,,9,,,,,,,,
5/15/18,"SZ, WO",WW137,LONMAA,Lonicera maackii,SH,,4,,,,,,,,
6/5/18,"MO, SZ",WW146,LONMAA,Lonicera maackii,SH,,12,,,,,,,,
5/1/18,"CB, PB",X110,LONMAA,Lonicera maackii,SH,,1,,,,,,,,
6/5/18,"MO, SZ",XX121,LONMAA,Lonicera maackii,SH,,4,,,,,,,,
5/9/18,"PB, WO",XX125,LONMAA,Lonicera maackii,SH,,5,,,,,,,,
5/11/18,PB,XX129,LONMAA,Lonicera maackii,SH,,8,,,,,,,,
