Date,Sampler,Plot ID Number,6-Letter Code,Species Name,% Cover,Cover Class (1-7),# of Woody Seedlings ,Notes,,,,,,,,,,,
6/5/18,"MO, SZ",KK131,ACESAU,Acer saccharum,8,3,1,,,,,,,,,,,,
5/10/18,"BS, TP",KK145,ACESAU,Acer saccharum,2,2,,open canopy,,,,,,,,,,,
6/6/18,JL,KK80,ACESAU,Acer saccharum,20,3,8,,,,,,,,,,,,
5/1/18,"CB, PB",L111,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,
5/1/18,"WS, JLL",L120,ACESAU,Acer saccharum,3,2,,,,,,,,,,,,,
5/15/18,"SZ, WO",LL128,ACESAU,Acer saccharum,25,4,,,,,,,,,,,,,
5/23/18,JLL,LL135,ACESAU,Acer saccharum,3,2,1,,,,,,,,,,,,
5/15/18,"MO, WS",LL141,ACESAU,Acer saccharum,6,3,,,,,,,,,,,,,
5/23/18,CB,LL84,ACESAU,Acer saccharum,30,4,,tree trunk in plot  ,,,,,,,,,,,
5/8/18,"MO, PB",LL90,ACESAU,Acer saccharum,4,2,,,,,,,,,,,,,
5/2/18,"WS, JLL",M134,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/2/18,"JLL, WS",M137,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,
5/2/18,"WS, JLL",N113,ACESAU,Acer saccharum,3,2,,,,,,,,,,,,,
5/1/18,"WS, JLL",N116,ACESAU,Acer saccharum,3,2,,,,,,,,,,,,,
5/2/18,"WS, JLL",N128,ACESAU,Acer saccharum,2,2,1,,,,,,,,,,,,
5/15/18,"SZ, WO",NN126,ACESAU,Acer saccharum,30,4,,,,,,,,,,,,,
5/15/18,"MO, WS",NN136,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/23/18,JLL,NN140,ACESAU,Acer saccharum,5,3,1,,,,,,,,,,,,
5/2/18,"WS, JLL",O112,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/2/18,"WS, JLL",O121,ACESAU,Acer saccharum,3,2,8,,,,,,,,,,,,
5/2/18,JLL,O131,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/2/18,"WS, JLL",O135,ACESAU,Acer saccharum,1,2,1,,,,,,,,,,,,
5/2/18,"WS, JLL",O136,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/1/18,"WS, JLL",P124,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,
5/1/18,"WS, JLL",P126,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/9/18,"JLL, WS",PP134,ACESAU,Acer saccharum,5,3,1,,,,,,,,,,,,
5/23/18,CB,PP135,ACESAU,Acer saccharum,4,2,2,,,,,,,,,,,,
5/2/18,"CB, PB",Q110,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,
5/2/18,"WS, JLL",Q120,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/1/18,"WS, JLL",Q122,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,
5/21/18,CB,Q127,ACESAU,Acer saccharum,8,2,,,,,,,,,,,,,
5/1/18,"WS, JLL",Q129,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/2/18,"WS, JLL",Q132,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/2/18,"WS, JLL",Q135,ACESAU,Acer saccharum,1,2,1,,,,,,,,,,,,
5/9/18,"JLL, WS",QQ133,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/17/18,"BS, WS",QQ139,ACESAU,Acer saccharum,30,4,3,,,,,,,,,,,,
5/2/18,"WS, JLL",R116,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/1/18,"WS, JLL",R128,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,
5/8/18,"JLL, SML",R75,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/23/18,CB,RR134,ACESAU,Acer saccharum,10,3,4,,,,,,,,,,,,
5/17/18,"BS, WS",RR139,ACESAU,Acer saccharum,30,4,,,,,,,,,,,,,
5/1/18,"CB, PB",S105,ACESAU,Acer saccharum,2,2,1,,,,,,,,,,,,
5/1/18,"WS, JLL",S126,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,
5/2/18,"WS, JLL",S134,ACESAU,Acer saccharum,1,2,1,,,,,,,,,,,,
5/8/18,"JLL, SML",S75,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/1/18,"WS, JLL",T122,ACESAU,Acer saccharum,3,2,1,,,,,,,,,,,,
5/2/18,"BS, WO",T127,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,
5/2/18,"BS, WO",T132,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/21/18,CB,T74,ACESAU,Acer saccharum,3,2,1,,,,,,,,,,,,
5/8/18,"JLL, SML",T75,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/8/18,"JLL, SML",T77,ACESAU,Acer saccharum,5,2,,,,,,,,,,,,,
5/10/18,"PB, WO",TT130,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/10/18,"PB, WO",TT132,ACESAU,Acer saccharum,4,2,,,,,,,,,,,,,
5/10/18,"PB, WO",TT133,ACESAU,Acer saccharum,15,2,,,,,,,,,,,,,
5/2/18,"CB, PB",U107,ACESAU,Acer saccharum,4,2,,,,,,,,,,,,,
5/9/18,"PB, WO",UU125,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/3/18,"BS, WO",V121,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,
5/3/18,"BS, WO",V136,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,
5/9/18,"PB, WO",VV122,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,
5/2/18,"CB, PB",W112,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,
5/2/18,"BS, WO",W128,ACESAU,Acer saccharum,8,3,2,,,,,,,,,,,,
5/2/18,"BS, WO",W132,ACESAU,Acer saccharum,3,2,,,,,,,,,,,,,
5/9/18,"PB, WO",WW124,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,
5/18/18,CB,WW140,ACESAU,Acer saccharum,4,2,1,,,,,,,,,,,,
5/3/18,"BS, WO",X121,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,
5/2/18,"BS, WO",X125,ACESAU,Acer saccharum,10,3,,,,,,,,,,,,,
5/9/18,"PB, WO",XX125,ACESAU,Acer saccharum,3,2,,,,,,,,,,,,,
5/18/18,CB,XX134,ACESAU,Acer saccharum,5,3,4,,,,,,,,,,,,
5/2/18,"CB, PB",Y105,ACESAU,Acer saccharum,4,2,,,,,,,,,,,,,
5/19/18,CB,Z108,ACESAU,Acer saccharum,3,2,1,,,,,,,,,,,,
5/3/18,"JLL, PB",Z118,ACESAU,Acer saccharum,15,3,5,,,,,,,,,,,,
5/3/18,"BS, WO",Z122,ACESAU,Acer saccharum,5,3,,,,,,,,,,,,,
5/3/18,"BS,WO",Z128,ACESAU,Acer saccharum,4,2,,,,,,,,,,,,,
5/3/18,"WO, SZ",Z132,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/8/18,"JLL, SML",Z76,ACESAU,Acer saccharum,1,2,,,,,,,,,,,,,
5/7/18,"PB, SZ",Z92,ACESAU,Acer saccharum,2,2,,,,,,,,,,,,,
5/4/18,"BS, WO",CC123,ACESAU,Acer saccharum ,4,2,,,,,,,,,,,,,
5/22/18,CB,EE78,ACESAU,Acer saccharum ,5,3,2,large red oak down through plot,,,,,,,,,,,
5/17/18,CB,HB136,ACESAU,Acer saccharum ,2,2,,,,,,,,,,,,,
5/10/18,"JLL, WS",B109,ACHMIL,Achillea millefolium,1,2,,,,,,,,,,,,,
5/22/18,JLL,BB106,ACHMIL,Achillea millefolium,3,2,,,,,,,,,,,,,
5/10/18,"JLL, WS",C105,ACHMIL,Achillea millefolium,1,2,,,,,,,,,,,,,
5/22/18,JLL,CC106,ACHMIL,Achillea millefolium,2,2,,,,,,,,,,,,,
6/6/18,JL,SS104,ACHMIL,Achillea millefolium,1,2,,,,,,,,,,,,,
6/6/18,JL,WW106,ACHMIL,Achillea millefolium,1,2,,,,,,,,,,,,,
5/8/18,"KS, WO",Y94,ACHMIL,Achillea millefolium,2,2,,,,,,,,,,,,,
5/7/18,"WO, SL",U95,ACTPAC,Actaea pachypoda,2,2,,,,,,,,,,,,,
5/20/18,CB,A137,AGEALT,Ageratina altissima,5,3,,,,,,,,,,,,,
5/22/18,CB,AA79,AGEALT,Ageratina altissima,4,2,,,,,,,,,,,,,
5/7/18,"PB, SZ",AA95,AGEALT,Ageratina altissima,1,2,,,,,,,,,,,,,
5/8/18,"MO, PB",BB84,AGEALT,Ageratina altissima,2,2,,,,,,,,,,,,,
5/7/18,"PB, SZ",BB92,AGEALT,Ageratina altissima,2,2,,,,,,,,,,,,,
5/20/18,CB,C136,AGEALT,Ageratina altissima,5,3,,,,,,,,,,,,,
5/4/18,"JLL, PB",CC110,AGEALT,Ageratina altissima,1,2,,,,,,,,,,,,,
5/8/18,"MO, PB",CC86,AGEALT,Ageratina altissima,5,3,,,,,,,,,,,,,
5/7/18,"PB, SZ",CC96,AGEALT,Ageratina altissima,2,2,,,,,,,,,,,,,
5/7/18,"PB, SZ",CC99,AGEALT,Ageratina altissima,2,2,,,,,,,,,,,,,
5/7/18,"PB, SZ",DD100,AGEALT,Ageratina altissima,2,2,,,,,,,,,,,,,
5/8/18,"MO, PB",DD83,AGEALT,Ageratina altissima,1,2,,,,,,,,,,,,,
5/22/18,CB,EE77,AGEALT,Ageratina altissima,6,3,,,,,,,,,,,,,
5/18/18,"PB, WO",GG127,AGEALT,Ageratina altissima,1,2,,,,,,,,,,,,,
5/7/18,"PB, SZ",GG92,AGEALT,Ageratina altissima,1,2,,,,,,,,,,,,,
5/7/18,"PB, SZ",GG94,AGEALT,Ageratina altissima,1,2,,,,,,,,,,,,,
5/4/18,"JLL, PB",HH110,AGEALT,Ageratina altissima,1,2,,,,,,,,,,,,,
5/2/18,CB  ,II105,AGEALT,Ageratina altissima,2,2,,,,,,,,,,,,,
5/8/18,"MO, PB",II87,AGEALT,Ageratina altissima,2,2,,,,,,,,,,,,,
5/2/18,CB  ,JJ105,AGEALT,Ageratina altissima,2,2,,,,,,,,,,,,,
5/8/18,"MO, PB",JJ87,AGEALT,Ageratina altissima,2,2,,,,,,,,,,,,,
5/23/18,JLL,KK93,AGEALT,Ageratina altissima,2,2,,,,,,,,,,,,,
5/22/18,JLL,LL102,AGEALT,Ageratina altissima,1,2,,,,,,,,,,,,,
5/4/18,"JLL, PB",LL110,AGEALT,Ageratina altissima,2,2,,,,,,,,,,,,,
5/4/18,"JLL, PB",LL114,AGEALT,Ageratina altissima,2,2,,composite opp. Leaves,,,,,,,,,,,
5/8/18,"MO, PB",LL90,AGEALT,Ageratina altissima,2,2,,,,,,,,,,,,,
5/22/18,JLL,MM102,AGEALT,Ageratina altissima,4,2,,,,,,,,,,,,,
6/6/18,"SL, SZ",MM97,AGEALT,Ageratina altissima,6,3,,,,,,,,,,,,,
5/22/18,JLL,NN100,AGEALT,Ageratina altissima,2,2,,,,,,,,,,,,,
5/7/18,"JLL, WS",NN110,AGEALT,Ageratina altissima,1,2,,,,,,,,,,,,,
6/6/18,"SL, SZ",NN97,AGEALT,Ageratina altissima,8,3,,,,,,,,,,,,,
5/7/18,"JLL, WS",OO101,AGEALT,Ageratina altissima,15,3,,,,,,,,,,,,,
5/7/18,"JLL, WS",PP101,AGEALT,Ageratina altissima,1,2,,,,,,,,,,,,,
5/21/18,CB,Q127,AGEALT,Ageratina altissima,4,2,,,,,,,,,,,,,
5/19/18,CB,QQ111,AGEALT,Ageratina altissima,8,3,,,,,,,,,,,,,
5/8/18,"KC, WO",R86,AGEALT,Ageratina altissima,3,2,,,,,,,,,,,,,
5/8/18,"KC, WO",S86,AGEALT,Ageratina altissima,3,2,,,,,,,,,,,,,
5/7/18,"JLL, WS",TT110,AGEALT,Ageratina altissima,3,2,,,,,,,,,,,,,
5/21/18,CB,U74,AGEALT,Ageratina altissima,3,2,,,,,,,,,,,,,
5/7/18,"WO, SL",U95,AGEALT,Ageratina altissima,2,2,,,,,,,,,,,,,
5/20/18,CB,U96,AGEALT,Ageratina altissima,3,2,,,,,,,,,,,,,
5/8/18,"JLL, SML",V84,AGEALT,Ageratina altissima,1,2,,,,,,,,,,,,,
5/4/18,"BS, WO",V89,AGEALT,Ageratina altissima,3,2,,,,,,,,,,,,,
5/7/18,"SL, WO",V95,AGEALT,Ageratina altissima,2,2,,,,,,,,,,,,,
5/8/18,"KS, WO",W91,AGEALT,Ageratina altissima,2,2,,,,,,,,,,,,,
5/7/18,"SL, WO",W95,AGEALT,Ageratina altissima,1,2,,,,,,,,,,,,,
5/8/18,"KS, WO",X93,AGEALT,Ageratina altissima,2,2,,,,,,,,,,,,,
5/22/18,CB,Z82,AGEALT,Ageratina altissima,3,2,,,,,,,,,,,,,
5/15/18,"CB, PB",ZZ132,AGEALT,Ageratina altissima,2,2,,,,,,,,,,,,,
5/1/18,"WO, SZ",A126,Agrimonia sp.,Agrimonia sp.,4,2,,,,,,,,,,,,,
5/2/18,"BS, WO",A135,Agrimonia sp.,Agrimonia sp.,2,2,,,,,,,,,,,,,
5/1/18,"WO, SZ",B127,Agrimonia sp.,Agrimonia sp.,2,2,,,,,,,,,,,,,
5/2/18,CB  ,BB107,Agrimonia sp.,Agrimonia sp.,3,2,,,,,,,,,,,,,
5/10/18,"JLL, WS",C105,Agrimonia sp.,Agrimonia sp.,1,2,,,,,,,,,,,,,
5/3/18,"WO, SZ",F118,Agrimonia sp.,Agrimonia sp.,2,2,,,,,,,,,,,,,
5/4/18,"BS, WO",FF117,Agrimonia sp.,Agrimonia sp.,8,3,,,,,,,,,,,,,
5/1/18,"WO, SZ",G126,Agrimonia sp.,Agrimonia sp.,2,2,,,,,,,,,,,,,
5/15/18,"CB, PB",HA132,Agrimonia sp.,Agrimonia sp.,2,2,,,,,,,,,,,,,
5/17/18,CB,HD135,Agrimonia sp.,Agrimonia sp.,2,2,,,,,,,,,,,,,
5/8/18,"MO, PB",HH87,Agrimonia sp.,Agrimonia sp.,3,2,,,,,,,,,,,,,
5/1/18,"WO, SZ",J121,Agrimonia sp.,Agrimonia sp.,2,2,,,,,,,,,,,,,
5/22/18,JLL,MM102,Agrimonia sp.,Agrimonia sp.,2,2,,,,,,,,,,,,,
5/7/18,"JLL, WS",OO103,Agrimonia sp.,Agrimonia sp.,2,2,,,,,,,,,,,,,
5/7/18,"JLL, WS",PP101,Agrimonia sp.,Agrimonia sp.,1,2,,,,,,,,,,,,,
5/20/18,CB,S92,Agrimonia sp.,Agrimonia sp.,4,2,,,,,,,,,,,,,
5/15/18,"MO, WS",TT140,Agrimonia sp.,Agrimonia sp.,1,2,,,,,,,,,,,,,
5/7/18,"WO, SL",U95,Agrimonia sp.,Agrimonia sp.,4,2,,,,,,,,,,,,,
5/15/18,"SZ, WO",WW137,Agrimonia sp.,Agrimonia sp.,2,2,,,,,,,,,,,,,
5/1/18,"WO, SZ",A128,AGRPUB,Agrimonia pubescens,10,3,,,,,,,,,,,,,
5/8/18,"JLL, SML",R79,ALISUB,Alisma subcordatum,5,3,,,,,,,,,,,,,
5/1/18,"WO, SZ",A121,ALLCAN,Allium canadense,4,2,,,,,,,,,,,,,
5/1/18,"WO, SZ",A128,ALLCAN,Allium canadense,3,2,,,,,,,,,,,,,
5/7/18,"PB, SZ",AA95,ALLCAN,Allium canadense,8,3,,,,,,,,,,,,,
5/2/18,"BS, WO",AX132,ALLCAN,Allium canadense,10,3,,,,,,,,,,,,,
5/1/18,"WO, SZ",AY122,ALLCAN,Allium canadense,2,2,,,,,,,,,,,,,
5/1/18,"WO, SZ",AY124,ALLCAN,Allium canadense,4,2,,,,,,,,,,,,,
5/1/18,"WO, SZ",B127,ALLCAN,Allium canadense,3,2,,,,,,,,,,,,,
5/3/18,"JLL,PB",BB118,ALLCAN,Allium canadense,15,3,,,,,,,,,,,,,
5/1/18,"WO, SZ",C125,ALLCAN,Allium canadense,5,3,,,,,,,,,,,,,
5/1/18,"WO, SZ",C127,ALLCAN,Allium canadense,2,2,,,,,,,,,,,,,
5/1/18,"WO, SZ",D125,ALLCAN,Allium canadense,2,2,,,,,,,,,,,,,
5/4/18,"BS, WO",EE120,ALLCAN,Allium canadense,6,3,,,,,,,,,,,,,
4/30/18,"WS, JLL",G109,ALLCAN,Allium canadense,1,2,,,,,,,,,,,,,
6/6/18,"SL, SZ",HH105,ALLCAN,Allium canadense,1,2,,,,,,,,,,,,,
5/4/18,"BS, WO",II122,ALLCAN,Allium canadense,3,2,,,,,,,,,,,,,
5/1/18,"WO, SZ",J121,ALLCAN,Allium canadense,2,2,,,,,,,,,,,,,
5/4/18,"JLL, PB",JJ115,ALLCAN,Allium canadense,20,3,,,,,,,,,,,,,
4/30/18,"WS, JLL",K115,ALLCAN,Allium canadense,3,2,,,,,,,,,,,,,
5/1/18,"WS, JLL",M118,ALLCAN,Allium canadense,1,2,,,,,,,,,,,,,
5/10/18,"BS, TP",OO146,ALLCAN,Allium canadense,1,2,,,,,,,,,,,,,
5/1/18,"WS, JLL",S126,ALLCAN,Allium canadense,1,2,,,,,,,,,,,,,
5/8/18,"KC, WO",S86,ALLCAN,Allium canadense,25,4,,,,,,,,,,,,,
5/15/18,"MO, WS",SS136,ALLCAN,Allium canadense,3,2,,,,,,,,,,,,,
5/21/18,CB,T74,ALLCAN,Allium canadense,3,2,,,,,,,,,,,,,
5/15/18,"MO, WS",TT137,ALLCAN,Allium canadense,3,2,,,,,,,,,,,,,
5/7/18,"WO, SL",U95,ALLCAN,Allium canadense,1,2,,,,,,,,,,,,,
5/21/18,CB,V73,ALLCAN,Allium canadense,12,3,,,,,,,,,,,,,
5/7/18,"SL, WO",V95,ALLCAN,Allium canadense,2,2,,,,,,,,,,,,,
5/8/18,"JLL, SML",W72,ALLCAN,Allium canadense,3,2,,,,,,,,,,,,,
5/8/18,"JLL, SML",W87,ALLCAN,Allium canadense,6,3,,,,,,,,,,,,,
5/7/18,"SL, WO",W95,ALLCAN,Allium canadense,2,2,,,,,,,,,,,,,
5/18/18,"CB, PB, WO",Y135,ALLCAN,Allium canadense,4,2,,,,,,,,,,,,,
5/15/18,"SZ, WO",YY137,ALLCAN,Allium canadense,8,3,,,,,,,,,,,,,
5/15/18,"CB, PB",ZZ134,ALLCAN,Allium canadense,8,3,,,,,,,,,,,,,
4/30/18,"WO, SZ",I117,ALLCAN ,Allium canadense,10,3,,,,,,,,,,,,,
5/1/18,"WO, SZ",A121,ALLCER,Allium cernuum,2,2,,,,,,,,,,,,,
4/30/18,"CB, PB",I107,ALLCER,Allium cernuum,2,2,,,,,,,,,,,,,
5/18/18,CB,WW140,ALLCER ,Allium cernuum  ,6,3,,,,,,,,,,,,,
5/10/18,"JLL, WS",A116,Allium sp.,Allium sp.,1,2,,,,,,,,,,,,,
5/15/18,"CB, PB",HB129,Allium sp.,Allium sp.,3,2,,,,,,,,,,,,,
4/30/18,"CB, PB",I109,Allium sp.,Allium sp.,2,2,,,,,,,,,,,,,
4/30/18,"CB, PB",K109,Allium sp.,Allium sp.,2,2,,,,,,,,,,,,,
5/2/18,JLL,M126,Allium sp.,Allium sp.,2,2,,,,,,,,,,,,,
5/2/18,"CB, PB",U107,Allium sp.,Allium sp.,10,2,,,,,,,,,,,,,
5/2/18,"JLL, PB",Y115,Allium sp.,Allium sp.,4,3,,,,,,,,,,,,,
5/10/18,"JLL, WS",A116,ALLPET,Alliaria petiolata,1,2,,,,,,,,,,,,,
5/1/18,"WO, SZ",A124,ALLPET,Alliaria petiolata,2,2,,,,,,,,,,,,,
5/2/18,"JLL, PB",AA116,ALLPET,Alliaria petiolata,4,2,,,,,,,,,,,,,
5/3/18,"JLL,PB",AA118,ALLPET,Alliaria petiolata,30,4,,,,,,,,,,,,,
5/2/18,CB  ,BB107,ALLPET,Alliaria petiolata,2,2,,,,,,,,,,,,,
5/2/18,"JLL, PB",BB116,ALLPET,Alliaria petiolata,2,2,,,,,,,,,,,,,
5/3/18,"JLL,PB",BB118,ALLPET,Alliaria petiolata,2,2,,,,,,,,,,,,,
5/3/18,"WS, JLL",BB121,ALLPET,Alliaria petiolata,2,2,,,,,,,,,,,,,
5/9/18,"BS, SL",BB141,ALLPET,Alliaria petiolata,2,2,,,,,,,,,,,,,
5/7/18,"PB, SZ",BB92,ALLPET,Alliaria petiolata,3,2,,,,,,,,,,,,,
5/20/18,CB,C136,ALLPET,Alliaria petiolata,2,2,,,,,,,,,,,,,
5/4/18,"BS, WO",CC123,ALLPET,Alliaria petiolata,35,4,,,,,,,,,,,,,
5/9/18,"BS, SML",CC144,ALLPET,Alliaria petiolata,1,2,,,,,,,,,,,,,
5/22/18,CB,CC78,ALLPET,Alliaria petiolata,4,2,,,,,,,,,,,,,
5/7/18,"PB, SZ",CC97,ALLPET,Alliaria petiolata,1,2,,,,,,,,,,,,,
5/10/18,"JLL, WS",D113,ALLPET,Alliaria petiolata,1,2,,,,,,,,,,,,,
5/7/18,"PB, SZ",DD100,ALLPET,Alliaria petiolata,1,2,,,,,,,,,,,,,
5/3/18,"WS, JLL",DD114,ALLPET,Alliaria petiolata,1,2,,,,,,,,,,,,,
5/9/18,"BS, SML",DD145,ALLPET,Alliaria petiolata,1,2,,,,,,,,,,,,,
5/22/18,CB,DD78,ALLPET,Alliaria petiolata,2,2,,,,,,,,,,,,,
5/8/18,"MO, PB",DD83,ALLPET,Alliaria petiolata,1,2,,,,,,,,,,,,,
5/7/18,"PB, SZ",DD90,ALLPET,Alliaria petiolata,2,2,,,,,,,,,,,,,
5/19/18,CB,EE111,ALLPET,Alliaria petiolata,3,2,,,,,,,,,,,,,
5/18/18,"PB, WO",EE126,ALLPET,Alliaria petiolata,1,2,,,,,,,,,,,,,
5/2/18,"WS, JLL",F134,ALLPET,Alliaria petiolata,3,2,,,,,,,,,,,,,
5/3/18,"BS, WO",FF112,ALLPET,Alliaria petiolata,2,2,,,,,,,,,,,,,
5/19/18,CB,FF114,ALLPET,Alliaria petiolata,4,2,,,,,,,,,,,,,
5/4/18,"BS, WO",FF123,ALLPET,Alliaria petiolata,2,2,,,,,,,,,,,,,
5/10/18,"PB, WO",FF138,ALLPET,Alliaria petiolata,25,4,,,,,,,,,,,,,
4/30/18,"WS, JLL",G109,ALLPET,Alliaria petiolata,1,2,,,,,,,,,,,,,
5/2/18,"WS, JLL",G132,ALLPET,Alliaria petiolata,1,2,,,,,,,,,,,,,
5/19/18,CB,GG113,ALLPET,Alliaria petiolata,6,3,,,,,,,,,,,,,
5/18/18,"PB, WO",GG127,ALLPET,Alliaria petiolata,3,2,,,,,,,,,,,,,
5/10/18,"BS, SL",GG135,ALLPET,Alliaria petiolata,8,3,,,,,,,,,,,,,
5/9/18,"BS, SML",GG146,ALLPET,Alliaria petiolata,1,2,,,,,,,,,,,,,
5/7/18,"PB, SZ",GG92,ALLPET,Alliaria petiolata,3,2,,,,,,,,,,,,,
5/7/18,"PB, SZ",GG94,ALLPET,Alliaria petiolata,2,2,,,,,,,,,,,,,
5/15/18,"CB, PB",HA132,ALLPET,Alliaria petiolata,1,2,,,,,,,,,,,,,
5/16/18,PB,HB126,ALLPET,Alliaria petiolata,3,2,,,,,,,,,,,,,
5/15/18,"CB, PB",HB129,ALLPET,Alliaria petiolata,27,4,,,,,,,,,,,,,
5/17/18,CB,HC135,ALLPET,Alliaria petiolata,1,2,,,,,,,,,,,,,
5/17/18,CB,HD134,ALLPET,Alliaria petiolata,1,2,,,,,,,,,,,,,
5/17/18,CB,HD135,ALLPET,Alliaria petiolata,3,2,,,,,,,,,,,,,
5/2/18,CB  ,HH103,ALLPET,Alliaria petiolata,1,2,,,,,,,,,,,,,
