PltSequence,Plot,Aspect,Slope,Group,Grp,Type,Elevation,CanopyOpenness,LnSlope,LnCanopyOpenness,BA,LnBA,InMoIndx,GLRichness,AlienRich,AlienCover,AlienNativeRatio,xRn,xRa_xRn,LnxRn,LnANratio,ASden,NSden,xRaS,xRnS,A_NSden,A_NxRS,GraminoidR,SpringR,SummerR,WoodyR,Spring_SummerRatio,WoodyCoverGL
231,C-111,59.0362,0.4176,Q.rubra,ROak,R.oak,234.8,7.7,-0.873231242,2.041220329,0.597279219,-0.515370571,142.86,2,1,3,0.5,2,0.5,1.098612289,0.405465108,0,1,0,1,0.5,0.5,0,0,0,2,1,6
287,C-120,247.6199,1.3165,Q.rubra,ROak,R.oak,236.2,9.64,0.2749767,2.265921109,0.491756395,-0.709771817,141.66,0,2,23,,0,,0,,12,0,2,0,13,3,0,0,0,0,1,0
368,C-123,338.9619,0.9975,Q.alba,WOak,W.oak,238.2,10.5,-0.00250313,2.351375257,0.481761126,-0.730306877,144.27,11,1,3,0.090909091,11,0.090909091,2.48490665,0.087011377,0,0,0,0,1,1,0,3,5,3,0.666666667,6
300,C-125,68.9615,0.9974,Q.alba,WOak,W.oak,238,8.17,-0.002603386,2.100468909,0.747784652,-0.290640241,144.18,18,0,0,0,18,0,2.944438979,0,0,7,0,2,0.125,0.333333333,0,6,5,5,1.166666667,45
260,C-127,214.2159,2.1642,Q.rubra,ROak,R.oak,238.2,11.06,0.772050778,2.403334996,1.13750981,0.128841496,140.66,12,0,0,0,12,0,2.564949357,0,0,0,0,0,1,1,0,4,7,1,0.625,1
6,C-136,48.8137,1.5223,F.am-U.am,AshElm,W.ash,238.4,8.57,0.420222349,2.148267733,0.164588675,-1.804305796,145.21,1,1,10,1,1,1,0.693147181,0.693147181,0,1,0,1,0.5,0.5,0,0,0,1,1,5
302,CC-106,191.3101,4.0105,Q.alba,WOak,W.oak,218.2,52.38,1.388915922,3.958524839,1.013022354,0.012938292,132.25,6,9,83,1.5,6,1.5,1.945910149,0.916290732,0,0,0,0,1,1,0,0,2,2,0.333333333,85
262,CC-110,178.877,3.6484,Q.rubra,ROak,R.oak,217.6,10.83,1.294288715,2.382320061,1.952185051,0.668949284,132.86,11,0,0,0,11,0,2.48490665,0,0,1,0,1,0.5,0.5,0,1,7,3,0.25,20
191,CC-123,196.6993,2.9882,A.saccharum,Maple,Maple,206.5,8.92,1.094671199,2.188295947,0.279964916,-1.273090984,129.87,7,1,1,0.142857143,7,0.142857143,2.079441542,0.133531393,0,2,0,2,0.333333333,0.333333333,0,2,2,3,1,13
52,CC-144,200.376,2.6721,P.serot,Cherry,Cherry,212.2,8.34,0.98286468,2.121063216,0.692700274,-0.367157878,132.1,2,3,13,1.5,2,1.5,1.098612289,0.916290732,7,0,2,0,8,3,0,0,0,2,1,4
243,CC-76,278.1304,2.5305,Q.rubra,ROak,R.oak,220.3,8.21,0.928416912,2.105352923,0.497614939,-0.697928716,137.3,9,3,15,0.333333333,9,0.333333333,2.302585093,0.287682073,1,0,1,0,2,2,0,2,5,2,0.5,53
324,CC-78,91.7358,2.3632,Q.alba,WOak,W.oak,220.7,5.17,0.860016633,1.642872689,0.608303862,-0.497080749,139.05,11,1,10,0.090909091,11,0.090909091,2.48490665,0.087011377,0,0,0,0,1,1,0,5,4,2,1.2,18
206,CC-86,344.0548,2.0847,A.saccharum,Maple,Maple,221.3,9.58,0.73462496,2.259677592,0.605224824,-0.50215528,140.36,7,1,3,0.142857143,7,0.142857143,2.079441542,0.133531393,3,4,1,2,0.8,0.666666667,0,1,4,2,0.4,13
325,CC-96,319.0855,2.8409,Q.alba,WOak,W.oak,225.7,11.07,1.044120903,2.404238747,0.707931028,-0.345408608,141.36,8,1,2,0.125,8,0.125,2.197224577,0.117783036,0,1,0,1,0.5,0.5,0,2,1,5,1.5,16
376,CC-97,345.4656,1.9969,Q.alba,WOak,W.oak,226.3,10.14,0.691595978,2.316487998,1.076399453,0.073621632,141.92,7,0,0,0,7,0,2.079441542,0,0,0,0,0,1,1,0,1,1,5,1,10
371,CC-99,44.9997,3.1367,Q.alba,WOak,W.oak,225.3,11,1.143171292,2.397895273,0.649200134,-0.432014237,143.22,6,0,0,0,6,0,1.945910149,0,0,0,0,0,1,1,0,1,0,5,2,94
141,D-113,63.4341,0.3203,T.americana,B.wood,B'wood,234.5,10.85,-1.138497222,2.38416508,0.232452206,-1.459070641,142.75,4,3,145,0.75,4,0.75,1.609437912,0.559615788,0,0,0,0,1,1,0,0,3,1,0.25,8
160,D-123,18.4358,0.9059,Q.macrocarpa,BurOak,B.oak,237.8,8.82,-0.098826354,2.17702187,0.779993117,-0.248470184,144.56,6,2,11,0.333333333,6,0.333333333,1.945910149,0.287682073,0,1,0,1,0.5,0.5,0,1,4,1,0.4,2
218,D-125,253.3006,1.4951,A.saccharum,Maple,Maple,238.1,11.47,0.402193094,2.439734931,0.543842167,-0.609096208,142.25,9,0,0,0,9,0,2.302585093,0,0,0,0,0,1,1,0,3,4,2,0.8,2
35,D-134,303.4861,5.5642,F.am-U.am,AshElm,W.ash,233.8,10.51,1.716353219,2.352327185,0.831956781,-0.183974785,142.94,5,2,8,0.4,5,0.4,1.791759469,0.336472237,0,2,0,1,0.333333333,0.5,0,1,1,3,1,32
364,DD-100,25.8206,2.465,Q.alba,WOak,W.oak,223.1,9.05,0.902191808,2.202764758,0.915973857,-0.087767455,141.74,5,2,9,0.4,5,0.4,1.791759469,0.336472237,0,0,0,0,1,1,0,1,1,3,1,5
339,DD-112,147.308,5.683,Q.alba,WOak,W.oak,219.1,7.87,1.737479262,2.063058062,1.178664535,0.164382048,133.32,1,0,0,0,1,0,0.693147181,0,1,4,1,2,0.4,0.666666667,0,0,0,1,1,5
303,DD-114,170.5376,6.0762,Q.alba,WOak,W.oak,216.4,7.48,1.804379501,2.012232792,0.692286845,-0.367754893,130.13,3,0,0,0,3,0,1.386294361,0,0,6,0,1,0.142857143,0.5,2,2,0,1,3,4
253,DD-115,163.8867,6.6789,Q.rubra,ROak,R.oak,215.6,8.59,1.898953303,2.150598736,0.699219283,-0.357790876,129.49,3,0,0,0,3,0,1.386294361,0,0,0,0,0,1,1,0,2,0,1,3,3
53,DD-145,196.1891,6.9021,P.serot,Cherry,Cherry,216,7.03,1.931825713,1.950186706,0.466208225,-0.76312291,127.69,1,1,1,1,1,1,0.693147181,0.693147181,9,0,1,0,10,2,0,0,0,1,1,1
103,DD-148,128.9457,6.6917,F.penn,GAsh,G.ash,214.4,8.78,1.900867952,2.172476408,0.441284925,-0.818064524,133.14,3,3,5,1,3,1,1.386294361,0.693147181,26,5,1,3,4.5,0.5,0,1,1,1,1,1
118,DD-78,24.8292,5.2723,T.americana,B.wood,B'wood,218.7,9.25,1.6624667,2.224623552,0.428708434,-0.846978232,144,12,3,20,0.25,12,0.25,2.564949357,0.223143551,0,4,0,2,0.2,0.333333333,0,4,3,5,1.25,37
187,DD-83,351.2538,3.7626,A.saccharum,Maple,Maple,218.9,10.77,1.325110208,2.376764491,1.282225549,0.248597278,141.65,3,0,0,0,3,0,1.386294361,0,2,3,1,1,0.75,1,0,2,1,0,1.5,0
124,DD-86,340.5599,2.5806,T.americana,B.wood,B'wood,220.2,9.34,0.94802193,2.234306252,0.412361478,-0.885854941,140.46,3,1,5,0.333333333,3,0.333333333,1.386294361,0.287682073,0,0,0,0,1,1,0,0,1,2,0.5,7
330,DD-90,352.8752,1.1547,Q.alba,WOak,W.oak,222.9,9.75,0.14384057,2.277267285,0.974354882,-0.025979686,140.09,10,2,9,0.2,10,0.2,2.397895273,0.182321557,0,2,0,2,0.333333333,0.333333333,0,3,2,5,1.333333333,12
27,E-109,293.1989,1.6359,F.am-U.am,AshElm,W.ash,232.1,7.24,0.492193112,1.979621206,0.132775908,-2.019092474,141.64,3,0,0,0,3,0,1.386294361,0,4,19,2,4,0.25,0.6,0,1,0,2,2,12
61,E-110,341.5656,1.3586,P.serot,Cherry,Cherry,232.5,7.09,0.306454758,1.958685341,0.335503021,-1.092124318,142.91,1,3,17,3,1,3,0.693147181,1.386294361,12,1,2,1,6.5,1.5,0,0,0,1,1,8
315,EE-108,179.9998,2.8624,Q.alba,WOak,W.oak,221.7,9.72,1.051660434,2.274185618,0.653219895,-0.425841461,134.97,9,0,0,0,9,0,2.302585093,0,0,1,0,1,0.5,0.5,0,0,7,1,0.125,3
192,EE-111,192.7241,2.2749,A.saccharum,Maple,Maple,223,6.73,0.821936095,1.906575144,1.241876777,0.216623765,136.21,4,0,0,0,4,0,1.609437912,0,2,5,1,1,0.5,1,0,1,0,3,2,9
332,EE-120,286.8216,3.2139,Q.alba,WOak,W.oak,216.2,9.38,1.167485153,2.238579763,1.141920479,0.132711476,136.54,6,0,0,0,6,0,1.945910149,0,0,4,0,3,0.2,0.25,0,2,2,2,1,55
219,EE-126,354.8051,0.791,A.saccharum,Maple,Maple,206.2,9.19,-0.234457311,2.218115936,0.024368298,-3.714472254,134.72,6,4,32,0.666666667,6,0.666666667,1.945910149,0.510825624,12,3,2,2,3.25,1,0,0,2,2,0.333333333,5
23,EE-140,356.987,1.3624,F.am-U.am,AshElm,W.ash,206.7,7.97,0.30924785,2.075684493,0.058305732,-2.842054871,135.54,2,0,0,0,2,0,1.098612289,0,0,2,0,1,0.333333333,0.5,0,0,1,1,0.5,8
69,EE-77,346.2827,9.2807,J.nig-U.rub,WnutElm,W'nut,215.7,14.59,2.227936975,2.680336363,1.404248618,0.339502368,145.11,13,1,20,0.076923077,13,0.076923077,2.63905733,0.074107972,0,3,0,1,0.25,0.5,0,7,5,1,1.333333333,50
239,EE-78,29.0545,6.6069,Q.rubra,ROak,R.oak,216.2,9.35,1.888114557,2.235376343,0.947827078,-0.053583201,144.52,10,2,40,0.2,10,0.2,2.397895273,0.182321557,3,1,1,1,2,1,0,5,2,3,2,55
237,F-107,61.6994,1.0573,Q.rubra,ROak,R.oak,232.2,11.81,0.055718489,2.46894663,0.621915159,-0.474951596,142.49,16,3,7,0.1875,16,0.1875,2.833213344,0.171850257,0,0,0,0,1,1,0,1,8,6,0.222222222,22
244,F-108,80.5378,0.8712,Q.rubra,ROak,R.oak,231.6,11.56,-0.137883707,2.447550863,0.709746189,-0.342847853,141.87,6,3,59,0.5,6,0.5,1.945910149,0.405465108,0,1,0,1,0.5,0.5,0,3,3,0,1,0
62,F-112,212.9054,2.8979,P.serot,Cherry,Cherry,233.7,8.57,1.063986337,2.148267733,0.517049085,-0.659617467,138.54,8,0,0,0,8,0,2.197224577,0,12,1,1,1,6.5,1,0,0,5,3,0.166666667,8
65,F-113,200.7724,2.2203,P.serot,Cherry,Cherry,234.2,8.73,0.797642322,2.16676537,0.363414169,-1.012212134,139.48,2,1,2,0.5,2,0.5,1.098612289,0.405465108,5,1,1,1,3,1,0,0,0,2,1,4
2,F-114,131.987,1.9264,F.am-U.am,AshElm,W.ash,234.2,11.28,0.655652976,2.423031246,0.202255873,-1.598221685,141.47,13,1,1,0.076923077,13,0.076923077,2.63905733,0.074107972,0,0,0,0,1,1,0,3,6,4,0.571428571,18
164,F-118,253.3011,1.4951,Q.macrocarpa,BurOak,B.oak,234.5,9.99,0.402193094,2.301584593,1.717035437,0.540599221,141.18,10,1,1,0.1,10,0.1,2.397895273,0.09531018,0,2,0,1,0.333333333,0.5,0,3,5,2,0.666666667,3
127,F-119,243.435,1.601,T.americana,B.wood,B'wood,235.1,12.21,0.470628434,2.502255288,0.174666673,-1.744875847,140.92,10,0,0,0,10,0,2.397895273,0,0,0,0,0,1,1,0,3,5,2,0.666666667,70
163,F-122,251.5653,1.3586,Q.macrocarpa,BurOak,B.oak,237.4,10.65,0.306454758,2.365559892,0.301266119,-1.199761289,142.02,11,0,0,0,11,0,2.48490665,0,0,18,0,1,0.052631579,0.5,0,2,6,3,0.428571429,43
220,F-129,335.8546,2.2749,A.saccharum,Maple,Maple,237.5,8.48,0.821936095,2.13771045,0.612943895,-0.489481873,145.23,4,1,1,0.25,4,0.25,1.609437912,0.223143551,0,0,0,0,1,1,2,1,1,2,1,3
193,F-134,63.9704,3.4232,A.saccharum,Maple,Maple,228.4,8.12,1.230575786,2.094330154,0.008107338,-4.814985701,143.05,7,1,40,0.142857143,7,0.142857143,2.079441542,0.133531393,0,1,0,1,0.5,0.5,0,1,3,3,0.5,35
64,FF-112,323.1292,0.7162,P.serot,Cherry,Cherry,222.9,9.96,-0.333795821,2.298577072,0.345054001,-1.06405435,139.34,6,1,3,0.166666667,6,0.166666667,1.945910149,0.15415068,0,6,0,3,0.142857143,0.25,0,0,3,3,0.25,65
316,FF-114,121.5513,4.7794,Q.alba,WOak,W.oak,221.1,10.39,1.564315016,2.340843805,0.893425746,-0.112692053,137.15,4,1,20,0.25,4,0.25,1.609437912,0.223143551,13,7,1,3,1.75,0.5,1,1,1,2,1,14
350,FF-117,185.7743,6.3802,Q.alba,WOak,W.oak,214.8,6.24,1.853199445,1.830980182,1.225521415,0.203366398,127.92,11,1,5,0.090909091,11,0.090909091,2.48490665,0.087011377,7,0,1,0,8,2,0,4,3,4,1.25,9
29,FF-123,101.3099,4.0106,F.am-U.am,AshElm,W.ash,207.3,7.08,1.388940856,1.957273908,0.34995411,-1.049953247,134.77,5,1,5,0.2,5,0.2,1.791759469,0.182321557,2,2,2,1,1,1.5,0,2,3,0,0.75,0
26,FF-138,180,1.4321,F.am-U.am,AshElm,W.ash,206.8,6.3,0.359141899,1.840549633,0.241805399,-1.419622013,132.43,2,2,14,1,2,1,1.098612289,0.693147181,16,1,1,1,8.5,1,0,1,0,1,2,3
168,FF-146,245.2247,2.05,Q.macrocarpa,BurOak,B.oak,219.8,7.46,0.717839793,2.009555414,0.534587427,-0.626259994,135.99,3,2,6,0.666666667,3,0.666666667,1.386294361,0.510825624,6,0,2,0,7,3,0,1,1,1,1,2
269,G-109,302.0051,1.3511,Q.rubra,ROak,R.oak,231.6,11.67,0.300919076,2.457021446,0.709359178,-0.343393283,141.88,13,0,0,0,13,0,2.63905733,0,0,0,0,0,1,1,0,7,5,1,1.333333333,15
209,G-132,56.8884,1.9658,A.saccharum,Maple,Maple,236.5,9.1,0.675899287,2.208274414,0.675129652,-0.39285053,144.98,6,1,1,0.166666667,6,0.166666667,1.945910149,0.15415068,0,1,0,1,0.5,0.5,0,2,2,2,1,4
110,G-137,306.2537,2.6625,F.penn,GAsh,G.ash,229.3,9.42,0.979265531,2.242835089,0.252138079,-1.377778409,141.57,2,3,64,1.5,2,1.5,1.098612289,0.916290732,43,1,2,1,22,1.5,1,0,1,1,0.5,3
345,GG-113,241.7,1.0574,Q.alba,WOak,W.oak,223.5,8.88,0.055813065,2.183801557,0.38289595,-0.959991998,137.99,7,0,0,0,7,0,2.079441542,0,4,4,1,2,1,0.666666667,0,2,2,3,1,92
268,GG-121,93.5762,6.856,Q.rubra,ROak,R.oak,213.2,8.38,1.925124181,2.125847914,0.963309483,-0.037380545,137.95,4,1,1,0.25,4,0.25,1.609437912,0.223143551,0,2,0,1,0.333333333,0.5,0,3,1,0,2,0
63,GG-122,119.2915,3.363,P.serot,Cherry,Cherry,210.8,9.37,1.212833433,2.237513096,0.343672492,-1.068066133,134.47,4,1,5,0.25,4,0.25,1.609437912,0.223143551,0,2,0,2,0.333333333,0.333333333,0,0,2,2,0.333333333,6
12,GG-135,225,0.2026,F.am-U.am,AshElm,W.ash,206.6,7.48,-1.596521687,2.012232792,0.476720899,-0.740824077,133.58,3,1,5,0.333333333,3,0.333333333,1.386294361,0.287682073,4,1,2,1,2.5,1.5,1,0,0,3,1,5
89,GG-140,204.4441,1.7302,J.nig-U.rub,WnutElm,W'nut,207.8,5.63,0.548237009,1.728109442,0.72070089,-0.327531082,132,1,1,3,1,1,1,0.693147181,0.693147181,15,0,1,0,16,2,0,0,0,1,1,4
115,GG-146,272.3861,3.4366,F.penn,GAsh,G.ash,219.9,6.23,1.234482611,1.829376333,0.421376774,-0.864227895,136.4,3,0,0,0,3,0,1.386294361,0,15,1,2,1,8,1.5,0,1,1,1,1,5
77,GG-92,329.4704,3.2393,J.nig-U.rub,WnutElm,W'nut,219.5,10.46,1.175357257,2.347558459,0.6525704,-0.426836253,140.27,12,0,0,0,12,0,2.564949357,0,0,1,0,1,0.5,0.5,0,4,3,5,1.25,7
318,GG-94,24.7748,2.05,Q.alba,WOak,W.oak,220,11.84,0.717839793,2.471483629,0.776592013,-0.252840146,140.38,9,0,0,0,9,0,2.302585093,0,0,0,0,0,1,1,0,2,4,3,0.6,7
279,H-115,87.7094,3.5792,Q.rubra,ROak,R.oak,232.9,10.94,1.275139312,2.392425797,0.619791435,-0.478372253,143.49,3,2,16,0.666666667,3,0.666666667,1.386294361,0.510825624,2,0,1,0,3,2,0,0,1,2,0.5,5
13,HA-124,236.6892,2.9967,F.am-U.am,AshElm,W.ash,211.5,14.13,1.097511683,2.648300197,0.112707687,-2.182957653,132.25,1,4,27,4,1,4,0.693147181,1.609437912,11,2,2,2,4,1,0,0,0,1,1,1
8,HA-127,227.7263,4.251,F.am-U.am,AshElm,W.ash,214.5,8.11,1.447154249,2.093097868,0.259225703,-1.350056157,131.11,0,1,8,,0,,0,,9,0,2,0,10,3,0,0,0,0,1,0
91,HA-132,205.8211,4.9208,J.nig-U.rub,WnutElm,W'nut,217.7,5.79,1.593471119,1.756132292,0.270257488,-1.308380115,130.81,6,2,5,0.333333333,6,0.333333333,1.945910149,0.287682073,7,0,2,0,8,3,0,0,4,1,0.2,60
108,HA-147,135.0008,1.114,F.penn,GAsh,G.ash,221.5,9.61,0.107957142,2.262804223,0.56391081,-0.572859178,137.62,4,3,7,0.75,4,0.75,1.609437912,0.559615788,16,0,2,0,17,3,0,1,3,0,0.5,0
17,HB-125,257.7353,1.6853,F.am-U.am,AshElm,W.ash,213.3,14.9,0.52194359,2.701361213,0.218557698,-1.520705235,134.8,6,5,41,0.833333333,6,0.833333333,1.945910149,0.606135804,9,1,3,1,5,2,0,0,3,3,0.25,27
104,HB-126,231.7092,1.7332,F.penn,GAsh,G.ash,214.1,10.34,0.549969411,2.336019869,0.155181319,-1.863161046,134.24,7,3,19,0.428571429,7,0.428571429,2.079441542,0.356674944,16,0,3,0,17,4,0,0,3,4,0.25,37
93,HB-129,237.5286,1.867,J.nig-U.rub,WnutElm,W'nut,219.9,6.47,0.624332865,1.867176109,0.207374875,-1.573227133,136.01,4,0,0,0,4,0,1.609437912,0,9,0,1,0,10,2,0,0,2,2,0.333333333,21
169,HB-131,149.0362,2.0871,Q.macrocarpa,BurOak,B.oak,220.8,8.66,0.735775543,2.158714723,1.388660545,0.328339646,136.72,7,1,25,0.142857143,7,0.142857143,2.079441542,0.133531393,13,1,2,1,7,1.5,0,2,2,3,1,38
292,HB-136,287.6503,3.3033,Q.rubra,ROak,R.oak,227.4,8.3,1.194921969,2.116255515,0.715436103,-0.334862988,139.85,4,1,2,0.25,4,0.25,1.609437912,0.223143551,1,4,1,2,0.4,0.666666667,0,1,1,2,1,38
143,HB-138,15.6421,1.8587,T.americana,B.wood,B'wood,228.5,9.87,0.619877319,2.289499853,0.650302346,-0.430317877,142.95,2,1,12,0.5,2,0.5,1.098612289,0.405465108,7,0,2,0,8,3,0,0,0,2,1,8
45,HB-141,12.5296,1.3204,P.serot,Cherry,Cherry,228,10.23,0.277934721,2.32532458,1.219176374,0.198175528,141.99,4,2,33,0.5,4,0.5,1.609437912,0.405465108,3,2,1,1,1.333333333,1,0,1,1,2,1,45
48,HB-143,52.4311,2.348,P.serot,Cherry,Cherry,227.2,8.5,0.853563902,2.140066163,0.708147392,-0.345103026,142.57,5,0,0,0,5,0,1.791759469,0,1,2,1,1,0.666666667,1,0,1,1,3,1,16
107,HB-146,142.9069,3.6762,F.penn,GAsh,G.ash,223.1,8.17,1.30187961,2.100468909,0.508540847,-0.676209738,136.52,2,2,28,1,2,1,1.098612289,0.693147181,17,0,2,0,18,3,1,0,1,1,0.5,4
66,HC-126,272.1212,1.9343,P.serot,Cherry,Cherry,214.2,13.99,0.659745504,2.638342789,0.200278319,-1.608047285,135.45,2,1,4,0.5,2,0.5,1.098612289,0.405465108,9,0,2,0,10,3,0,0,0,2,1,28
78,HC-130,332.5254,2.0173,J.nig-U.rub,WnutElm,W'nut,220.2,12.21,0.701759984,2.502255288,0.311422043,-1.166606235,139.65,4,3,5,0.75,4,0.75,1.609437912,0.559615788,6,2,2,1,2.333333333,1.5,0,2,0,2,3,23
283,HC-135,271.79,4.5761,Q.rubra,ROak,R.oak,225.4,10.49,1.520847107,2.350422422,1.215040416,0.19477734,137.27,3,0,0,0,3,0,1.386294361,0,0,3,0,2,0.25,0.333333333,0,1,1,1,1,40
92,HC-142,15.2553,2.4483,J.nig-U.rub,WnutElm,W'nut,226.7,9.46,0.895393906,2.247072383,0.524143092,-0.645990556,142.81,2,2,55,1,2,1,1.098612289,0.693147181,9,0,2,0,10,3,1,1,0,1,2,15
